						
						
						
Остатки ТМЦ на складах						
На дату: 24.09.14						
По фирме "Босенко Вероника Николаевна(Основной учет)". По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
UNIVersal Валери выкл. СУ 2 кл. бел. (пласт. осн.) В0023		шт	60.00	1.000	60.00	
UNIVersal Валери роз. СУ 1 мест. бел. (земля, керам. осн.) В0028		шт	55.00	2.000	110.00	
UNIVersal Валери роз. СУ 1 мест. бел. (земля, керам. осн.) В0028		шт	60.00	8.000	480.00	
UNIVersal Валери роз. СУ 1 мест. бел. (керам. осн.) В0022		шт	55.00	13.000	715.00	
UNIVersal Валери роз. СУ 2 мест. бел. (земля, керам. осн.) В0128		шт	70.00	12.000	840.00	
UNIVersal Валери роз. СУ 2 мест. бел. (керам. осн.) В0102		шт	65.00	11.000	715.00	
UNIVersal вилка 16А 250В (АБС-пластик, прямая, белая, земля) А101		шт	40.00	3.000	120.00	
UNIVersal вилка 16А 250В (АБС-пластик, прямая, черная, земля) А1010		шт	40.00	19.000	760.00	
UNIVersal вилка 16А 250В (АБС-пластик, угловая, черная, земля) А0105		шт	35.00	16.000	560.00	
UNIVersal колодка 2 гн. 16А 250В (АБС-пластик, белая, земля) E302		шт	80.00	2.000	160.00	
UNIVersal колодка 3 гн. 10А 250В (АБС-пластик, белая) E203		шт	80.00	3.000	240.00	
UNIVersal колодка 3 гн. 16А 250В (АБС-пластик, белая, земля) E303		шт	110.00	7.000	770.00	
UNIVersal колодка 4 гн. 10А 250В (АБС-пластик, белая) Е204		шт	100.00	1.000	100.00	
UNIVersal Олимп выкл. ОУ 1 кл. бел. (пласт. осн.) О0021		шт	50.00	10.000	500.00	
UNIVersal Олимп выкл. ОУ 2 кл. бел. (пласт. осн.) О0023		шт	55.00	10.000	550.00	
UNIVersal Олимп роз. ОУ 1 мест. бел. (земля, керам. осн.) О0028		шт	65.00	7.000	455.00	
UNIVersal Олимп роз. ОУ 1 мест. бел. (керам. осн.) О0022		шт	50.00	11.000	550.00	
UNIVersal Олимп роз. ОУ 2 мест. бел. (земля, керам. осн.) О0128		шт	85.00	11.000	935.00	
UNIVersal Олимп роз. ОУ 2 мест. бел. (керам. осн.) О0102		шт	70.00	2.000	140.00	
UNIVersal патрон E14 керамич. подвесной 2А c этикеткой 5565327		шт	10.00	7.000	70.00	
UNIVersal патрон E27 карболит потолочный 4А 5565303		шт	25.00	3.000	75.00	
UNIVersal патрон E27 керамич. подвесной 4А c этикеткой 5565341		шт	15.00	20.000	300.00	
UNIVersal патрон E27 термопластик люстровый белый 4А 250В 5560711		шт	20.00	3.000	60.00	
UNIVersal ПВС 3х0.75 2 роз.  2 м 10А земля У10-553 553-02		шт	190.00	4.000	760.00	
UNIVersal перекл. бра 6А 250В (АБС-пластик, ) А106		шт	25.00	6.000	150.00	
UNIVersal перекл. бра 6А 250В (АБС-пластик, черный) А0106		шт	25.00	4.000	100.00	
UNIVersal сетевой фильтр ПВС 3х0.75 6 роз.  3 м 10А белый, земля, выкл., шторки 967U-		шт	360.00	2.000	720.00	
UNIVersal сетевой фильтр ПВС 3х0.75 6 роз.  5 м 10А белый, земля, выкл., шторки 967U-		шт	430.00	3.000	1'290.00	
UNIVersal сетевой фильтр ПВС 3х0.75 6 роз.  7 м 10А белый, земля, выкл., шторки 967U-		шт	490.00	1.000	490.00	
UNIVersal сетевой фильтр ПВС 3х0.75 6 роз.  7 м 10А белый, земля, выкл., шторки 967U-		шт	515.00	2.000	1'030.00	
UNIVersal сетевой фильтр ПВС 3х0.75 6 роз. 10 м 10А белый, земля, выкл., шторки 967U-		шт	595.00	3.000	1'785.00	
uplast коробка распред.  65x40мм ОУ 4 гермоввода с крышкой IP54 (аналог 233998) 040-0		шт	26.00	7.000	182.00	
uplast коробка распред.  65х65х50мм ОУ 4 гермоввода с крышкой IP54 (аналог 233997) 03		шт	30.00	9.000	270.00	
uplast коробка распред.  85x40мм ОУ 4 гермоввода IP54 (аналог 234000) 040-039		шт	30.00	11.000	330.00	
uplast коробка распред.  85x40мм ОУ 4 гермоввода IP54 (аналог 234000) 040-039		шт	35.00	8.000	280.00	
uplast коробка распред. 105х105х45мм ОУ 8 гермовводов IP54 (аналог 233996) 030-014		шт	60.00	2.000	120.00	
uplast коробка уст. 68х45мм СУ для полых стен с пластмас.лапк. (аналог 234010) 020-01		шт	10.00	24.000	240.00	
uplast коробка уст. 68х45мм СУ для твердых стен (аналог 234005) 010-033		шт	10.00	29.000	290.00	
uplast коробка уст. 68х45мм СУ для твердых стен блочная 010-033		шт	10.00	33.000	330.00	
uplast крышка универсальная (аналог 233994) 100-015		шт	5.00	13.000	65.00	
uplast соединитель для коробок 100-030		шт	3.00	27.000	81.00	
VITO св-к-ночник VT 801-1W 4xRLED 220V с выкл., блистер, св/д		шт	35.00	10.000	350.00	
VITO св-к-ночник VT 802-1.5W Oval 4xRLED 220V с выкл., блистер,		шт	35.00	13.000	455.00	
VITO св-к-ночник VT 803-1.5W Kitty 4xRLED 220V с выкл., блистер, синий св/д		шт	35.00	5.000	175.00	
VITO св-к-ночник VT 804-1W Pengu 4xRLED 220V с выкл., блистер, черный корпус		шт	35.00	3.000	105.00	
Volsten (СИЗ)  1-3 мм2 серый (цена за уп. 50 шт.) V02-10G-1,0-3,0		шт	3.00	97.000	291.00	
Volsten (СИЗ)  2.5-4.5 мм2 синий (цена за уп. 50 шт.) V02-10S-2,5-4,5		шт	3.00	67.000	201.00	
Volsten (СИЗ)  2.5-5.5 мм2 оранжевый (цена за уп. 50 шт.) V02-10O-2,5-5,5		шт	8.00	18.000	144.00	
Volsten (СИЗ)  3.5-11 мм2 желтый (цена за уп. 50 шт.) V02-10Y-3,5-11		шт	5.00	3.000	15.00	
Volsten (СИЗ)  5-20 мм2 красный (цена за уп. 50 шт.) V02-10R-5,0-20		шт	5.00	42.000	210.00	
Volsten SA 1/1 вилка-переходник плоская евро 10А белая BL2 (цена за 1 шт.)		шт	40.00	6.000	240.00	
Volsten SA 1/2 разветвитель 2 роз. 6А белый, шторки (T-образный)		шт	55.00	5.000	275.00	
Volsten SA 1/3-ZDV разветвитель 3 роз. 16А белый, земля, выкл., шторки (T-образный)		шт	145.00	5.000	725.00	
Volsten SA 1/4 разветвитель 4 роз. 10А белый (линейный, плоский)		шт	80.00	9.000	720.00	
Volsten Z-1/3A разветвитель 6А (уп. 2шт., цена за 1шт.)		шт	55.00	7.000	385.00	
Volsten колодка винтовая (ЗВИ) 12 пар   3А 2,5мм "п/э" бел. V02-9W-PE-003 (уп. 10 шт.		шт	17.00	6.000	102.00	
Volsten колодка винтовая (ЗВИ) 12 пар   5А 4мм "п/п" бел. V02-9W-PP-005 (уп. 10 шт.,		шт	17.00	7.000	119.00	
Volsten колодка винтовая (ЗВИ) 12 пар   5А 4мм "п/п" бел. V02-9W-PP-005 (уп. 10 шт.,		шт	18.00	9.000	162.00	
Volsten колодка винтовая (ЗВИ) 12 пар  15А 10мм "п/э" бел. V02-9W-PE-015 (уп. 10 шт.,		шт	36.00	9.000	324.00	
Volsten скоба круглая пластиковая  5мм (уп. 50 шт.) V02-6W-1-05-050		шт	15.00	1.000	15.00	
Volsten скоба круглая пластиковая  6мм (уп. 50 шт.) V02-6W-1-06-050		шт	20.00	1.000	20.00	
Volsten скоба круглая пластиковая 12мм (уп. 50 шт.) V02-6W-1-12-050		шт	17.00	3.000	51.00	
Volsten скоба плоская пластиковая  5мм (уп. 50 шт.) V02-6W-2-05-050		шт	15.00	2.000	30.00	
Volsten скоба плоская пластиковая  8мм (уп. 50 шт.) V02-6W-2-08-050		шт	20.00	3.000	60.00	
Volsten хомут 3,6х180мм нейлон, белый V02-1W-3,6х180-050 (уп. 50 шт.)		шт	20.00	2.000	40.00	
Volsten хомут 4,8х350мм нейлон, белый V02-1W-4,8х350-100 (уп. 100 шт.)		шт	95.00	1.000	95.00	
Аккорд D002/001 звонок дверной беспроводной 2хAA, 80м, 24 мелодии		шт	300.00	1.000	300.00	
Аккорд D5620 звонок дверной беспроводной 2хAA, 80м, 24 мелодии, 2 кнопки		шт	390.00	1.000	390.00	
Аккорд D8203 -8206звонок дверной беспроводной В АССОРТ		шт	260.00	7.000	1'820.00	
Аккорд D8207 звонок дверной беспроводной 3хAA, 80м, 23 мелодии, световая индикация		шт	300.00	1.000	300.00	
Аккумулятор Camelion R03 600mAh Ni-MH BL2		шт	50.00	4.000	200.00	
Аккумулятор Camelion R6 1500mAh Ni-MH BL2		шт	95.00	6.000	570.00	
Аккумулятор Camelion R6 2000mAh Ni-MH BL2		шт	120.00	6.000	720.00	
Аккумулятор Camelion R6 2300mAh Ni-MH BL2		шт	135.00	6.000	810.00	
Аккумулятор Camelion R6 2700mAh Ni-MH  BL2		шт	160.00	2.000	320.00	
Аккумулятор Camelion R6 600mAh Ni-Cd BL2		шт	55.00	6.000	330.00	
Аккумулятор Camelion R6 800mAh Ni-Cd BL2		шт	65.00	6.000	390.00	
Аккумулятор GP 100AAAHC/R03 1000mAh BL2		шт	125.00	1.000	125.00	
Аккумулятор GP 130AAHC /R6 1300mAh BL2		шт	115.00	1.000	115.00	
Аккумулятор GP 210AAHC /R6 2100mAh BL2		шт	180.00	6.000	1'080.00	
Аккумулятор GP 230AAHC /R6 2300mAh BL2		шт	205.00	6.000	1'230.00	
Аккумулятор GP 250AAHC /R6 2500mAh BL2		шт	225.00	2.000	450.00	
Аккумулятор GP 250AAHC /R6 2500mAh BL2		шт	230.00	6.000	1'380.00	
Аккумулятор GP 270AAHC /R6 2700mAh BL2		шт	240.00	8.000	1'920.00	
Аккумулятор GP 65AAAHC/R03 650mAh BL2		шт	80.00	2.000	160.00	
Аккумулятор GP 65AAAHC/R03 650mAh BL2		шт	85.00	4.000	340.00	
Антенный удл-ль 3c2v  2м бел. (шт-гн) ДОРИ 1130-1		шт	50.00	1.000	50.00	
Антенный удл-ль 3c2v 10м бел. (шт-гн) ДОРИ 1132-1		шт	102.00	1.000	102.00	
Антенный удл-ль 3c2v 15м бел. (шт-гн) ДОРИ 1133-1		шт	135.00	1.000	135.00	
Антенный удл-ль 3c2v 20м бел. (шт-гн) ДОРИ 1134-1		шт	165.00	2.000	330.00	
Антинакипин 500г.Nast. (Жидкий.)д/бытовых приборов		шт	30.00	24.000	720.00	
Банка д/сып.продуктов стекло 16,5*12*17,5см Купман DP3000080		шт	200.00	3.000	600.00	
Безмен электронный Точный вес DS1 до 40кг, деление 10гр, ЖК дисплей, CR2032 в компл.		шт	310.00	1.000	310.00	
Безмен электронный Точный вес DS2 до 40кг, деление 10гр, ЖК дисплей, 2xAAA в компл.		шт	310.00	1.000	310.00	
Блендер Lumme LU-1824, 250Вт, 2 скор, насадка из нерж стали, слоновая кость		шт	725.00	1.000	725.00	
Весы кухонные AST KS-03, до 5кг, деление 40гр		шт	255.00	1.000	255.00	
Весы кухонные AST KS-08, до 1кг, деление 10гр, емк чаша		шт	150.00	2.000	300.00	
Весы кухонные AST KS-09, до 2кг, деление 20гр, емк яблоко		шт	240.00	1.000	240.00	
Весы кухонные IRIT IR-7132, до 2кг, деление 20гр, цвет микс		шт	270.00	2.000	540.00	
Весы кухонные электрон. ENERGY EN-413, до 5кг, деление 1гр, черные (АА*2шт не вход в		шт	670.00	1.000	670.00	
Весы кухонные электрон. ENERGY EN-414, до 5кг, деление 1гр, чаша 2л (6F22 не вход в к		шт	900.00	1.000	900.00	
Весы кухонные электрон. ENGY EN-403, до 5кг, деление 1гр, d=18.5см, В АСС (CR2032 в к		шт	710.00	2.000	1'420.00	
Весы кухонные электронные IRIT IR-7119, до 5кг, деление 1гр (2хАА в комплекте)		шт	650.00	1.000	650.00	
Весы напольные электрон ENGY EN-407 (стекл. красные) 150кг деление 100гр 11619		шт	777.00	4.000	3'108.00	
Вилка В6-001 6А 250В (полистирол, прямая, белая, со втулкой) Витебск		шт	21.00	18.000	378.00	
Вилка В6-001 6А 250В (полистирол, черная) Витебск		шт	15.00	16.000	240.00	
Вилка-переходник плоская евро 16А белая		шт	15.00	2.000	30.00	
Выкл. для настенного светильника с проводом и деревянным наконечником, gold Rexant		шт	70.00	4.000	280.00	
Выкл. для настенного светильника с цепочкой 270 мм, gold Rexant 32-0102		шт	65.00	5.000	325.00	
Выкл. для настенного светильника с цепочкой 270 мм, silver Rexant 32-0101		шт	65.00	4.000	260.00	
Выкл. проходной ПР6-09-2/250 2А 250В (полистирол, латунь) Минск		шт	35.00	10.000	350.00	
Гарнизон сетевой фильтр ПВС 3х0.75 6 роз. 1.8 м 10А белый ,земля, выкл.		шт	235.00	3.000	705.00	
Гарнизон сетевой фильтр ПВС 3х0.75 6 роз. 3 м 10А белый, земля, выкл.		шт	280.00	5.000	1'400.00	
Для цветов "Стелла7" 159*64см (черн.) d корзины 20см, сталь ПДЦ87Ч ЗМИ		шт	1'620.00	1.000	1'620.00	
ДХК-25 Дюбель-хомут для кругл. кабеля (белый) 19-25 (100 шт) 207103 НАКРЕПКО		шт	140.00	2.000	280.00	
Дюбель ЗУБР "МАСТЕР" распорный полипропиленовый, тип "ЕВРО", 12 х 60 мм, 250 шт 1218		упак	18.00	2.000	36.00	
Дюбель ЗУБР "МАСТЕР" распорный полипропиленовый, тип "ЕВРО", 12 х 60 мм, 250 шт 1218		упак	20.00	2.000	40.00	
Дюбель п/проп (с усами) 10/50 (16) 1216		упак	20.00	3.000	60.00	
Дюбель-хомут d11-18мм белый 100шт/уп-дюбель д/крепл.провода Rexant 07-4502		шт	110.00	1.000	110.00	
Заглушка для розетки 01ИР.767556.015 Минск		шт	5.00	14.000	70.00	
Зарядное устройство Космос 509 R03/R6/R14/R20*1-4, 9V*1-2 универс., 12-14 час.		шт	530.00	1.000	530.00	
Изолента 15/10 Safeline /ECON  / VKL В АССОРТ.		шт	15.00	1.000	15.00	
Изолента 15/10 В АССОРТ.		шт	15.00	97.000	1'455.00	
Изолента 15/20 TDMВ АССОРТ. SQ0526-0014		шт	25.00	45.000	1'125.00	
Изолента 15/20 TDMВ АССОРТ. SQ0526-0014		шт	30.00	6.000	180.00	
Изолента 15/20 TDMВ АССОРТ. SQ0526-0014		шт	40.00	43.000	1'720.00	
Изолента 19/20 Safeline  В АССОРТ.		шт	35.00	3.000	105.00	
Изолента х/б 20мм 300гр		шт	80.00	10.000	800.00	
Изолента ХБ 19/7 TDM двухсторонняя (100г) SQ0526-0501		шт	35.00	1.000	35.00	
Кабель RG-6 75 Ом Rexant 01-2202 OUTDOOR (жила сталь/медь, оплетка алюм.) бухта 100м		шт	11.00	2.000	22.00	
Кабель RG-6 75 Ом Rexant 01-2202 OUTDOOR (жила сталь/медь, оплетка алюм.) бухта 100м		шт	12.00	90.000	1'080.00	
Кабель RG-6U 75 Ом Proconnect 01-2205 (0,9 мм жила сталь/медь, оплетка алюм) бухта 10		шт	10.00	51.250	512.50	
Кабель RG-6U 75 Ом Proconnect 01-2205 (0,9 мм жила сталь/медь, оплетка алюм) бухта 10		шт	11.00	8.000	88.00	
Кабель ВВГ 3х2,5пл 100м (ГОСТ) T.Plast /ЕВРО ПРОФИЛЬ сил. медн. плоск. дв. из. ПВХ		шт	30.00	5.000	150.00	
Кабель ВВГ-П 3х2,5  (бухта 50м) (ГОСТ) (Кабэкс) сил черн медн Плоский		шт	30.00	81.000	2'430.00	
Кабель ВВГнг 2х2,5пл (бухта 50м) (ГОСТ) (Кабэкс)ш сил. медн. пл. нег. дв. из. ПВХ		м	25.00	100.000	2'500.00	
Капсульные  OSRAM 64415 HALOSTAR STANDART 10W 12V G4		шт	55.00	8.000	440.00	
Капсульные  OSRAM 64425 HALOSTAR STANDART 20W 12V G4 63318		шт	55.00	11.000	605.00	
Кипятильник 1 кВт IRIT IR-9002 в коробке (Китай) 220V		шт	110.00	3.000	330.00	
Кипятильник 1,2 кВт IRIT  IR 9003-9004 в коробке (Китай) 220V		шт	130.00	5.000	650.00	
Кипятильник 1,5 кВт IRIT IR-9005 в коробке (Китай) 220V		шт	160.00	5.000	800.00	
Кнопка звонка А10.4-001 черно-белая (полистирол, прямоуг.) Витебск		шт	20.00	6.000	120.00	
КОМТЕХ T26 E14 25W для холодильников и швейных машин прозрачная T26 CL 25 E14		шт	17.00	55.000	935.00	
Конвекционный стеклянный обогреватель IRIT IR- 6212,2кВт,ЖК-дисплей		шт	3'580.00	1.000	3'580.00	
Коробка распред. 70х30мм ОУ 3-х рожк. пластик. белая КРК		шт	10.00	13.000	130.00	
Коробка распред. 70х30мм ОУ 4-х рожк. пластик. белая КРК		шт	15.00	10.000	150.00	
Космос KOCNL_WL104(cs038) ночник LED переливающийся,фотосенсор, рыбки-клоуны		шт	305.00	4.000	1'220.00	
КОСМОС R50 E14 7W 4500 50x86 premium		шт	360.00	4.000	1'440.00	
Космос фонарь 55LED (3xR6) 3+4св/д красн.+черный/пластик+резина, прожект.+кемпинг., в		шт	220.00	2.000	440.00	
Космос фонарь 8107T (2xR6) кр. 2.4V 0.75A черный/пластик, ремешок		шт	35.00	2.000	70.00	
Космос фонарь Ac104LED (акк.1.5V 1.5Ah) 5св/д черный/пластик, вилка 220V		шт	135.00	1.000	135.00	
Кофеварка из карбоновой стали MAL-490T (турка), 490мл		шт	110.00	3.000	330.00	
Кофеварка стальная CW-1000  (турка/молочник), 1000мл		шт	300.00	2.000	600.00	
Кофеварка стальная CW-350  (турка), 350мл		шт	155.00	1.000	155.00	
Кофеварка стальная CW-650  (турка), 650мл		шт	235.00	1.000	235.00	
Кофеварка стальная с медным дном CW-1000C  (турка/молочник), 1000мл		шт	350.00	1.000	350.00	
Кофеварка стальная с медным дном CW-450C  (турка), 450мл		шт	220.00	1.000	220.00	
Кофеварка стальная с медным дном CW-650C  (турка), 650мл		шт	265.00	1.000	265.00	
Кофеварка стальная с медным дном CW-850C  (турка), 850мл		шт	315.00	2.000	630.00	
Кофемолка Energy EN-111,180 Вт 85 гр (белая,черная)		шт	770.00	2.000	1'540.00	
Крышка жесть д/консервирования "Дачница" (Омск) КЖД		шт	3.00	17.000	51.00	
Крышки винтовые D=82мм ,в упаковке по 10шт фотопечать в ассорт. Komfi / 05460		шт	6.00	315.000	1'890.00	
ЛАМПА  накаливания 40W E27 40W		шт	13.00	65.000	845.00	
ЛАМПА  накаливания 75W E27 75W		шт	14.00	308.000	4'312.00	
ЛАМПА  накаливания 95W E27 95W		шт	11.00	65.000	715.00	
Лампа Б 230-240 75Вт Е27 (100) **********************		шт	13.00	161.000	2'093.00	
Лампа Б 95W E27 (уп. 100шт) штрих-код Искра		шт	13.00	154.000	2'002.00	
Лампа галоген. Camelion JCD G9 230V 40W матовая		шт	37.00	8.000	296.00	
Лампа галоген. Camelion JCD G9 230V 40W матовая		шт	40.00	10.000	400.00	
Лампа галоген. Camelion JCDR GU10 230V 35W		шт	47.00	2.000	94.00	
Лампа галоген. Camelion JCDR GU10 230V 50W		шт	47.00	1.000	47.00	
Лампа галоген. Camelion MR11 GU4 12V 20W		шт	30.00	6.000	180.00	
Лампа галоген. Camelion MR11 GU4 12V 35W		шт	30.00	8.000	240.00	
Лампа галоген. Navigator J117 R7s 230V 500W NH-J117-500-230-R7s 94221		шт	35.00	1.000	35.00	
Лампа галоген. Navigator J117 R7s 230V 500W NH-J117-500-230-R7s 94221		шт	40.00	10.000	400.00	
Лампа галоген. Navigator JCD G9 230V 40W матовая NH-JCD9-40-230-G9-FR 94232		шт	45.00	10.000	450.00	
Лампа галоген. Navigator JCD G9 230V 60W матовая NH-JCD9-60-230-G9-FR 94233		шт	45.00	10.000	450.00	
Лампа галоген. Navigator JCDR GU5.3 230V 35W NH-JCDR-35-230-GU5.3 94205		шт	45.00	18.000	810.00	
Лампа галоген. Navigator JCDR GU5.3 230V 50W NH-JCDR-50-230-GU5.3 94206		шт	45.00	15.000	675.00	
Лампа галоген. Navigator MR16 GU5.3 12V 35W NH-MR16-35-12-GU5.3 94203		шт	35.00	15.000	525.00	
Лампа галоген. Navigator MR16 GU5.3 12V 50W NH-MR16-50-12-GU5.3 94204		шт	35.00	12.000	420.00	
Лампа галоген. Sweko JC G4 12V 10W SHL-JC-10-12-G4-CL прозрачная 38139		шт	20.00	51.000	1'020.00	
Лампа галоген. Sweko JC G4 12V 20W SHL-JC-20-12-G4-CL прозрачная  38141		шт	20.00	40.000	800.00	
Лампа галоген. Sweko JD G9 230V 40W SHL-JD9-40-230-G9-CL прозрачная 38149		шт	37.00	2.000	74.00	
Лампа галоген. Sweko JD G9 230V 40W SHL-JD9-40-230-G9-CL прозрачная 38149		шт	40.00	10.000	400.00	
Лампа галоген. Sweko JD G9 230V 60W SHL-JD9-60-230-G9-CL прозрачная 38151		шт	40.00	10.000	400.00	
Лампа галоген. Космос JCDR GU5.3 220V 50W LKsmJCDR220V50W		шт	35.00	2.000	70.00	
Лампа галоген. Космос JCDRC GU10 220V 35W LKsmJCDRC220V35W*		шт	50.00	8.000	400.00	
Лампа галоген. Космос JCDRC GU10 220V 50W LKsmJCDRC220V50W*		шт	50.00	10.000	500.00	
Лампа галоген. Космос JD G6.35 230V 35W LKsmJD230V35W*		шт	30.00	3.000	90.00	
Лампа галоген. Космос MR16 GU5.3 12V 50W LKsmMR1612V50W*		шт	30.00	1.000	30.00	
Лампа галоген. ЭРА JCD G9 230V 40W прозрачная JCD-40-230-G9-CL		шт	36.00	1.000	36.00	
Лампа галоген. ЭРА JCDR GU5.3 230V 50W JCDR-50-230-GU5.3		шт	40.00	8.000	320.00	
Лампа люмин. Camelion  SP E27  9W 2700 91x34(T2) LH9-FS-T2-M/827/E27		шт	141.00	10.000	1'410.00	
Лампа люмин. Camelion  SP E27  9W 4200 91x34(T2) LH9-FS-T2-M/842/E27		шт	141.00	7.000	987.00	
Лампа люмин. Camelion  SP E27 11W 2700 100x34(T2) LH11-FS-T2-M/827/E27		шт	145.00	5.000	725.00	
Лампа люмин. Camelion  SP E27 11W 4200 100x34(T2) LH11-FS-T2-M/842/E27		шт	145.00	4.000	580.00	
Лампа люмин. Camelion  SP E27 12W 2700 95x40(T2) LH12-FS-T2/827/E27		шт	113.00	3.000	339.00	
Лампа люмин. Camelion  SP E27 12W 4200 95x40(T2) LH12-FS-T2/842/E27		шт	113.00	5.000	565.00	
Лампа люмин. Camelion  SP E27 12W 6400 95x40(T2) LH12-FS-T2/864/E27		шт	113.00	3.000	339.00	
Лампа люмин. Camelion  SP E27 13W 2700 92x40(T2) ECO CF13-AS-T2/827/E27		шт	120.00	1.000	120.00	
Лампа люмин. Camelion  SP E27 13W 4200 92x40(T2) ECO CF13-AS-T2/842/E27 (аналог 26548		шт	116.00	7.000	812.00	
Лампа люмин. Camelion  SP E27 13W 4200 92x40(T2) ECO CF13-AS-T2/842/E27 (аналог 26548		шт	120.00	10.000	1'200.00	
Лампа люмин. Camelion  SP E27 15W 2700 94x50(T2) LH15-FS-T2/827/E27		шт	118.00	2.000	236.00	
Лампа люмин. Camelion  SP E27 15W 2700 94x50(T2) LH15-FS-T2/827/E27		шт	120.00	10.000	1'200.00	
Лампа люмин. Camelion  SP E27 15W 2700 98x40(T2) LH15-FS-T2-M/827/E27		шт	145.00	7.000	1'015.00	
Лампа люмин. Camelion  SP E27 20W 2700 111x53(T2) ECO CF20-AS-T2/827/E27		шт	133.00	2.000	266.00	
Лампа люмин. Camelion  SP E27 20W 4200 111x53(T2) ECO CF20-AS-T2/842/E27		шт	133.00	2.000	266.00	
Лампа люмин. Camelion  SP E27 26W 2700 113x52(T2) PRO FC26-FS-T2/827/E27		шт	190.00	5.000	950.00	
Лампа люмин. Camelion  SP E27 26W 2700 120x53(T2) ECO CF26-AS-T2/827/E27		шт	145.00	1.000	145.00	
Лампа люмин. Camelion  SP E27 26W 4200 120x53(T2) ECO CF26-AS-T2/842/E27		шт	145.00	6.000	870.00	
Лампа люмин. Camelion  SP E27 30W 2700 120x58(T3) ECO CF30-FS/827/E27		шт	167.00	3.000	501.00	
Лампа люмин. Camelion G23 11W 4200 235x32(T4) LH11-U/842/G23		шт	85.00	3.000	255.00	
Лампа люмин. Ecola SP E14 11W 2700 98x32 Micro Full Plus Light TS4W11ECC		шт	95.00	4.000	380.00	
Лампа люмин. Ecola SP E14 20W 2700 104x45 Full Z4NW20ECL		шт	153.00	2.000	306.00	
Лампа люмин. Ecola SP E14 20W 4100 104x45 Full Z4NV20ECL		шт	153.00	5.000	765.00	
Лампа люмин. Ecola SP E14 20W 6400 104x45 Full Z4ND20ECL		шт	153.00	4.000	612.00	
Лампа люмин. Ecola SP E14 9W 6400 90x31 Mini Half Z4FD09ECB		шт	143.00	5.000	715.00	
Лампа люмин. Ecola SP E27  9W 4000 82x31 Mini Half Z7FV09ECB		шт	145.00	11.000	1'595.00	
Лампа люмин. Ecola SP E27 11W 2700 98x32 Micro Full Z7FW11ECC		шт	127.00	2.000	254.00	
Лампа люмин. Ecola SP E27 11W 4100 98x32 Micro Full Z7FV11ECC		шт	127.00	3.000	381.00	
Лампа люмин. Ecola SP E27 11W 4100 98x32 Micro Full Z7FV11ECC		шт	130.00	17.000	2'210.00	
Лампа люмин. Ecola SP E27 12W 4100 95x42 Mini S-16 Z7BV12ECB		шт	145.00	2.000	290.00	
Лампа люмин. Ecola SP E27 12W 4100 95x42 Mini S-16 Z7BV12ECB		шт	146.00	1.000	146.00	
Лампа люмин. Ecola SP E27 12W 4100 95x42 Mini S-16 Z7BV12ECB		шт	150.00	6.000	900.00	
Лампа люмин. Ecola SP E27 15W 2700 98x45 Full Z7NW15ECL		шт	140.00	4.000	560.00	
Лампа люмин. Ecola SP E27 15W 2700 98x45 Full Z7NW15ECL		шт	145.00	7.000	1'015.00	
Лампа люмин. Ecola SP E27 15W 4100 104x42 Light TS7V15ECC		шт	115.00	2.000	230.00	
Лампа люмин. Ecola SP E27 15W 4100 98x45 Full Z7NV15ECL		шт	140.00	1.000	140.00	
Лампа люмин. Ecola SP E27 15W 4100 98x45 Full Z7NV15ECL		шт	145.00	10.000	1'450.00	
Лампа люмин. Ecola SP E27 20W 2700 104x45 Full Z7NW20ECL		шт	145.00	8.000	1'160.00	
Лампа люмин. Ecola SP E27 20W 2700 104x45 Full Z7NW20ECL		шт	155.00	2.000	310.00	
Лампа люмин. Ecola SP E27 20W 4100 104x45 Full Z7NV20ECL		шт	145.00	7.000	1'015.00	
Лампа люмин. Ecola SP E27 25W 2700 105x50 Slim Full Z7SW25ECL		шт	170.00	4.000	680.00	
Лампа люмин. Ecola SP E27 25W 4100 105x50 Slim Full Z7SV25ECL		шт	160.00	9.000	1'440.00	
Лампа люмин. Ecola SP E27 25W 4100 105x50 Slim Full Z7SV25ECL		шт	168.00	1.000	168.00	
Лампа люмин. Ecola SP E27 25W 4100 105x50 Slim Full Z7SV25ECL		шт	170.00	5.000	850.00	
Лампа люмин. Ecola SP E27 30W 2700 128x59 Z7NW30ECL		шт	188.00	1.000	188.00	
Лампа люмин. Ecola SP E27 30W 2700 128x59 Z7NW30ECL		шт	190.00	6.000	1'140.00	
Лампа люмин. Ecola SP E27 30W 4000 128x59 Z7NV30ECL		шт	190.00	16.000	3'040.00	
Лампа люмин. Ecola SP E27 9W 2700 82x31 Mini Half Z7FW09ECB		шт	145.00	3.000	435.00	
Лампа люмин. Philips T8 G13 18W 6500 590x26 TL-D 18W/54-765		шт	45.00	7.000	315.00	
Лампа люмин. Philips T8 G13 36W 4000 1200x26 TL-D 36W/33-640		шт	77.00	7.000	539.00	
Лампа люмин. Космос Шар G45s Е27 9W 2700 87*45*		шт	180.00	5.000	900.00	
Лампа накал. GE R39 E14 30W зеркальная 92124/21524		шт	50.00	11.000	550.00	
