							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Монолит Суперклей 3гр. (12*Bl) (288) 2999		шт	10.00	 	 	6.000	60.00
Мультиметр Мастер М 830 В (60) 1107		шт	250.00	 	 	1.000	250.00
Мультиметр Мастер М 838 (темп.) (60) 1109		шт	350.00	 	 	2.000	700.00
Мультиметр Фaza М300 (72) 28644		шт	465.00	 	 	1.000	465.00
Набор EXTRA 2 PLUS лезвия (4шт)+ станок (60)		шт	120.00	 	 	2.000	240.00
Набор LADY PROTECTOR женский Станок+5 лезвий (5)		шт	330.00	 	 	1.000	330.00
Набор блюд 2пр Маки квадрат. 001й12		шт	230.00	 	 	2.000	460.00
Набор инструментов (пассатижи,бокорезы,разводной ключ) (24) 27749		шт	340.00	 	 	1.000	340.00
Набор инструментов ремонтный 24 предмета (36) 27750		шт	395.00	 	 	1.000	395.00
Набор Ключи гаечные 200 мм 8шт (60) 27740		шт	410.00	 	 	1.000	410.00
Набор подарочный LADY QUATTRO женский Станок+3 лезвия (5)		шт	410.00	 	 	2.000	820.00
