							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Комплект саморезов 4,2х75 св. с прес. шайбой (10 шт.) 7247		шт	20.00	 	 	8.000	160.00
Комплект фас. дюбелей 5х25 с саморез.(20шт) 56460		шт	15.00	 	 	20.000	300.00
Комплект фасованных дюбелей 10х60(11шт) 10462		шт	15.00	 	 	19.000	285.00
Комплект фасованных дюбелей 12х70(8шт) 10461		шт	15.00	 	 	20.000	300.00
Комплект фасованных дюбелей 6х25 с саморез.(18шт) 10470		шт	15.00	 	 	19.000	285.00
Комплект фасованных дюбелей 6х25(40шт) 10469		шт	15.00	 	 	19.000	285.00
Комплект фасованных дюбелей 6х30 с саморез. (15шт) 10468		шт	15.00	 	 	20.000	300.00
Комплект фасованных дюбелей 6х30(35шт) 10467		шт	15.00	 	 	19.000	285.00
Комплект фасованных дюбелей 6х35 с саморез.(13шт) 10466		шт	15.00	 	 	20.000	300.00
Комплект фасованных дюбелей 6х35(30шт) 10465		шт	15.00	 	 	20.000	300.00
Комплект фасованных дюбелей 6х40 с саморез.(10шт) 23804		шт	15.00	 	 	20.000	300.00
Комплект фасованных дюбелей 6х50(26шт) 16161		шт	20.00	 	 	20.000	400.00
Комплект фасованных дюбелей 6х60(26шт) 11260		шт	20.00	 	 	20.000	400.00
Комплект фасованных дюбелей 8х30 с саморезом(13шт) 10464		шт	15.00	 	 	10.000	150.00
Комплект фасованных дюбелей 8х30(30шт) 11503		шт	15.00	 	 	10.000	150.00
Комплект фасованных дюбелей 8х40 с саморез.(11шт) 10463		шт	15.00	 	 	10.000	150.00
Комплект фасованных дюбелей 8х40(25шт) 10460		шт	15.00	 	 	10.000	150.00
Комплект фасованных дюбелей 8х60(16шт) 11259		шт	15.00	 	 	10.000	150.00
Комплект фасованных дюбелей 8х80(12шт) 10457		шт	15.00	 	 	10.000	150.00
Комплект фасованных дюбель-гвоздей 6х40 (13шт) 11889		шт	16.00	 	 	20.000	320.00
Комплект фасованных дюбель-гвоздей 6х60 (8шт) 10456		шт	16.00	 	 	20.000	320.00
Комплект фасованных дюбель-гвоздей 6х80 (7шт) 11891		шт	20.00	 	 	20.000	400.00
Комплект финишных гвоздей 1,6 х 20 (290шт) 20900		шт	23.00	 	 	10.000	230.00
Комплект финишных гвоздей 1,6 х 25 (240шт) 21264		шт	23.00	 	 	10.000	230.00
Комплект финишных гвоздей 1,8 х 30 (200шт) 21266		шт	27.00	 	 	10.000	270.00
Комплект финишных гвоздей 1,8 х 40 (130шт) 21267		шт	27.00	 	 	10.000	270.00
Комплект финишных гвоздей 1,8 х 50 (100 шт.) 21150		шт	27.00	 	 	10.000	270.00
Комплект шайб гров.\фас.12,0-цинк ГОСТ 6402-70 (19 шт.) 7379		шт	25.00	 	 	3.000	75.00
Комплект шайб гров.\фас.14,0-цинк ГОСТ 6402-70 (15 шт.) 14688		шт	25.00	 	 	3.000	75.00
Комплект шайб гров.\фас.16,0-цинк ГОСТ 6402-70 (11 шт.) 7712		шт	25.00	 	 	3.000	75.00
Комплект шайб гров.\фас.5,0-цинк ГОСТ 6402-70 (180 шт.) 5330		шт	20.00	 	 	2.000	40.00
Комплект шайб гров.\фас.6,0-цинк ГОСТ 6402-70 (180 шт.) 10963		шт	25.00	 	 	2.000	50.00
Комплект шайб гров.\фас.8,0-цинк ГОСТ 6402-70 (40 шт.) 5333		шт	20.00	 	 	3.000	60.00
Комплект шайб пл. фас. 10,0 ув.-цинк ГОСТ 6958 (7 шт.) 10961		шт	20.00	 	 	3.000	60.00
Комплект шайб пл. фас. 10,0-цинк ГОСТ 11371-78 (22 шт.) 5334		шт	25.00	 	 	3.000	75.00
Комплект шайб пл. фас. 12,0 ув. -цинк ГОСТ 6958 (6 шт.) 16332		шт	35.00	 	 	3.000	105.00
Комплект шайб пл. фас. 12,0-цинк ГОСТ 11371-78 (15 шт.) 5337		шт	25.00	 	 	3.000	75.00
Комплект шайб пл. фас. 14,0-цинк ГОСТ 11371-78 (10 шт.) 16333		шт	25.00	 	 	3.000	75.00
Комплект шайб пл. фас. 16,0-цинк ГОСТ 11371-78 (8 шт.) 10959		шт	25.00	 	 	3.000	75.00
Комплект шайб пл. фас. 4,0-цинк ГОСТ 11371-78 (180 шт.) 5338		шт	25.00	 	 	1.000	25.00
Комплект шайб пл. фас. 4,0-цинк ув.ГОСТ 6958 (35 шт.) 10960		шт	20.00	 	 	2.000	40.00
Комплект шайб пл. фас. 5,0-цинк ГОСТ 11371-78 (120 шт.) 5339		шт	25.00	 	 	1.000	25.00
Комплект шайб пл. фас. 6,0-цинк ГОСТ 11371-78 (50 шт.) 5340		шт	20.00	 	 	3.000	60.00
Комплект шайб пл. фас. 6,0-цинк ув. ГОСТ 11371-78 (25 шт.) 21299		шт	20.00	 	 	2.000	40.00
Комплект шайб пл. фас. 8,0-цинк ГОСТ 11371-78 (29 шт.) 5341		шт	20.00	 	 	5.000	100.00
Комплект шайб пл. фас. 8,0-цинк ув.  ГОСТ 6958 (13 шт.) 5343		шт	20.00	 	 	3.000	60.00
ацетон (канистра 5л) КАМСКИЕ КРАСКИ		шт	451.00	 	 	1.000	451.00
грунт-эмаль по ржавчине 3 в 1 красно-коричневый (банка 0,9кг)		шт	240.00	 	 	2.000	480.00
грунт-эмаль по ржавчине 3 в 1 серый (банка 0,9кг)		шт	240.00	 	 	1.000	240.00
грунт. ГФ-021 кр.коричн.(банка 1кг) КАМСКИЕ КРАСКИ		шт	126.00	 	 	2.000	252.00
грунт. ГФ-021 кр.коричн.(банка 2,5кг) КАМСКИЕ КРАСКИ		шт	306.00	 	 	1.000	306.00
грунтовка сцепляющая акриловая БЕТОН-КОНТАКТ "КАМСКИЕ КРАСКИ" для внутренних работ (в		шт	227.00	 	 	2.000	454.00
грунтовка сцепляющая акриловая БЕТОН-КОНТАКТ "КАМСКИЕ КРАСКИ" для внутренних работ (в		шт	387.00	 	 	1.000	387.00
грунтовка сцепляющая акриловая БЕТОН-КОНТАКТ "КАМСКИЕ КРАСКИ" для наруж. и внутр. раб		шт	112.00	 	 	4.000	448.00
грунтовка-пропитка акриловая "КАМСКИЕ КРАСКИ" д/вн. работ (канистра 3,5л)		шт	153.00	 	 	1.000	153.00
грунтовка-пропитка акриловая с антисепт."КАМСКИЕ КРАСКИ" д/вн. работ глуб.проникн.(ка		шт	177.00	 	 	2.000	354.00
Защитно-декоративный состав для древесины "Усадьба" бесцветный (0,8л)		шт	145.00	 	 	2.000	290.00
Защитно-декоративный состав для древесины "Усадьба" бесцветный (2,9л)		шт	483.00	 	 	2.000	966.00
Защитно-декоративный состав для древесины "Усадьба" лиственница (0,8л)		шт	145.00	 	 	2.000	290.00
Защитно-декоративный состав для древесины "Усадьба" лиственница (2,9л)		шт	483.00	 	 	1.000	483.00
Защитно-декоративный состав для древесины "Усадьба" махагон (0,8л)		шт	145.00	 	 	2.000	290.00
Защитно-декоративный состав для древесины "Усадьба" махагон (2,9л)		шт	483.00	 	 	2.000	966.00
Защитно-декоративный состав для древесины "Усадьба" сосна (0,8л)		шт	145.00	 	 	2.000	290.00
Защитно-декоративный состав для древесины "Усадьба" тик (0,8л)		шт	145.00	 	 	1.000	145.00
Защитно-декоративный состав для древесины "Усадьба" тик (2,9л)		шт	483.00	 	 	1.000	483.00
краска ВД-АК "КАМСКИЕ КРАСКИ" д/вн. работ белая матовая (ведро 3кг)		шт	140.00	 	 	2.000	280.00
краска ВД-АК "КАМСКИЕ КРАСКИ" д/вн. работ повыш. влагост белая матов (3кг)		шт	157.00	 	 	2.000	314.00
краска ВД-АК "КАМСКИЕ КРАСКИ" д/вн. работ повыш. влагост белая матов (4,5кг)		шт	230.00	 	 	1.000	230.00
краска ВД-АК "КАМСКИЕ КРАСКИ" д/вн. работ Супербелая (ведро 3кг)		шт	150.00	 	 	1.000	150.00
краска ВД-АК "КАМСКИЕ КРАСКИ" д/потолков Супербелая (1,4кг)		шт	66.00	 	 	2.000	132.00
краска ВД-АК "КАМСКИЕ КРАСКИ" д/потолков Супербелая (3кг)		шт	132.00	 	 	2.000	264.00
краска ВД-АК "КАМСКИЕ КРАСКИ" д/потолков Супербелая (4,5кг)		шт	192.00	 	 	1.000	192.00
краска ВД-АК "КАМСКИЕ КРАСКИ" фасадная белая матовая (ведро 4,5кг)		шт	324.00	 	 	2.000	648.00
нефрас пэт 0,5 л (0,390кг) КАМСКИЕ КРАСКИ		шт	50.00	 	 	9.000	450.00
растворитель 646 (канистра 5л) КАМСКИЕ КРАСКИ		шт	383.00	 	 	1.000	383.00
сурик МА-15 кр./кор.(банка 3кг) КАМСКИЕ КРАСКИ		шт	327.00	 	 	2.000	654.00
уайт-спирит (пл.флакон 1 л ) КАМСКИЕ КРАСКИ		шт	97.00	 	 	5.000	485.00
уайт-спирит пэт 0,5л(0,39кг) КАМСКИЕ КРАСКИ		шт	50.00	 	 	3.000	150.00
уайт-спирит пэт 2,5л (канистра 1,8кг) КАМСКИЕ КРАСКИ		шт	222.00	 	 	1.000	222.00
эмаль акриловая ВД-АК "КАМСКИЕ КРАСКИ" д/наруж. и вн. работ Супербелая (ведро 2,5кг)		шт	455.00	 	 	1.000	455.00
эмаль алкидная ПФ-115 "Усадьба" белая (банка 2,7кг)		шт	356.00	 	 	2.000	712.00
эмаль алкидная ПФ-115 "Усадьба" белая (ведро 5кг)		шт	674.00	 	 	1.000	674.00
эмаль алкидная ПФ-115 "Усадьба" желтая (банка 0,9кг)		шт	159.00	 	 	1.000	159.00
эмаль алкидная ПФ-115 "Усадьба" зеленая (банка 0,9кг)		шт	130.00	 	 	2.000	260.00
эмаль алкидная ПФ-115 "Усадьба" зеленое яблоко (банка 0,9кг)		шт	130.00	 	 	1.000	130.00
эмаль алкидная ПФ-115 "Усадьба" зеленое яблоко (банка 1,9кг)		шт	254.00	 	 	1.000	254.00
эмаль алкидная ПФ-115 "Усадьба" изумруд (банка 0,9кг)		шт	130.00	 	 	2.000	260.00
эмаль алкидная ПФ-115 "Усадьба" коричневая (банка 1,9кг)		шт	248.00	 	 	1.000	248.00
эмаль алкидная ПФ-115 "Усадьба" красная (банка 0,9кг)		шт	146.00	 	 	2.000	292.00
эмаль алкидная ПФ-115 "Усадьба" красная (банка 1,9кг)		шт	304.00	 	 	1.000	304.00
эмаль алкидная ПФ-115 "Усадьба" салатная (банка 0,9кг)		шт	130.00	 	 	2.000	260.00
эмаль алкидная ПФ-115 "Усадьба" салатная (банка 1,9кг)		шт	254.00	 	 	1.000	254.00
эмаль алкидная ПФ-115 "Усадьба" серая (банка 1,9кг)		шт	255.00	 	 	1.000	255.00
эмаль алкидная ПФ-115 "Усадьба" синяя (банка 0,9кг)		шт	131.00	 	 	1.000	131.00
эмаль алкидная ПФ-115 "Усадьба" синяя (банка 1,9кг)		шт	254.00	 	 	1.000	254.00
эмаль алкидная ПФ-115 "Усадьба" черная (банка 0,9кг)		шт	122.00	 	 	1.000	122.00
эмаль алкидная ПФ-115 "Усадьба" черная (банка 1,9кг)		шт	248.00	 	 	1.000	248.00
эмаль алкидная ПФ-115 "Усадьба" ярко голубая (банка 0,9кг)		шт	125.00	 	 	1.000	125.00
эмаль алкидная ПФ-266 "Усадьба" ж/корич.(банка 0,9кг)		шт	122.00	 	 	1.000	122.00
эмаль алкидная ПФ-266 "Усадьба" ж/корич.(банка 2,7
кг)		шт	342.00	 	 	1.000	342.00
эмаль ПФ-115 стандарт бежевая (банка 0,9кг) КАМСКИЕ КРАСКИ		шт	154.00	 	 	2.000	308.00
эмаль ПФ-115 стандарт белая (банка 0,9кг) КАМСКИЕ КРАСКИ		шт	154.00	 	 	5.000	770.00
эмаль ПФ-115 стандарт белая (банка 2,3кг) КАМСКИЕ КРАСКИ		шт	388.00	 	 	3.000	1'164.00
эмаль ПФ-115 стандарт белая (ведро 5кг) КАМСКИЕ КРАСКИ		шт	824.00	 	 	1.000	824.00
эмаль ПФ-115 стандарт белая глянцевая повышенн белизны (банка 2,3кг) КАМСКИЕ КРАСКИ		шт	467.00	 	 	1.000	467.00
эмаль ПФ-115 стандарт белая матовая (банка 1кг) КАМСКИЕ КРАСКИ		шт	210.00	 	 	2.000	420.00
эмаль ПФ-115 стандарт зеленая (банка 0,9кг) КАМСКИЕ КРАСКИ		шт	160.00	 	 	2.000	320.00
эмаль ПФ-115 стандарт изумруд (банка 0,9кг) КАМСКИЕ КРАСКИ		шт	160.00	 	 	1.000	160.00
эмаль ПФ-115 стандарт салатная (банка 2,3кг) КАМСКИЕ КРАСКИ		шт	397.00	 	 	2.000	794.00
эмаль ПФ-115 стандарт серая (банка 0,9кг) КАМСКИЕ КРАСКИ		шт	154.00	 	 	2.000	308.00
эмаль ПФ-115 стандарт синяя (банка 0,9кг) КАМСКИЕ КРАСКИ		шт	160.00	 	 	1.000	160.00
эмаль ПФ-115 стандарт ярко голубая (банка 0,9кг) КАМСКИЕ КРАСКИ		шт	154.00	 	 	1.000	154.00
эмаль ПФ-266 стандарт ж/корич.(банка 0,9кг) КАМСКИЕ КРАСКИ		шт	136.00	 	 	2.000	272.00
эмаль ПФ-266 стандарт ж/корич.(банка 2,3кг) КАМСКИЕ КРАСКИ		шт	346.00	 	 	2.000	692.00
эмаль ПФ-266 стандарт кр/корич.(банка 0,9кг) КАМСКИЕ КРАСКИ		шт	136.00	 	 	1.000	136.00
эмаль ПФ-266 стандарт кр/корич.(банка 2,3кг) КАМСКИЕ КРАСКИ		шт	346.00	 	 	1.000	346.00
миска. 0,4л мандарин Plastic Center ПЦ2310МНД 195332		шт	15.00	 	 	7.000	105.00
миска. 0,4л мандарин Plastic Center ПЦ2310МНД 195332		шт	90.00	 	 	-1.000	-90.00
Банка д/сып.продуктов 1,5л ПЭТ Альтернатива М490		шт	60.00	 	 	1.000	60.00
Банка д/сып.продуктов 2,8л Бытпласт С12359		шт	151.00	 	 	3.000	453.00
Банка д/сып.продуктов керам. h=12см "Герберы" с клипсой
(со стразами) Енса L2430335 ( L2430335		шт	165.00	 	 	1.000	165.00
Банка д/сып.продуктов керам. h=13см 400мл "Бабочки"
конус (со стразами) Енса L2430381 L2430381		шт	160.00	 	 	1.000	160.00
Банка д/сып.продуктов керам. h=14см "Герберы" с клипсой
(со стразами) Енса L2430334 ( L2430334		шт	253.00	 	 	1.000	253.00
Банка д/сып.продуктов керам. h=15см "Герберы" с клипсой
(со стразами) Енса L2430308 ( L2430308		шт	200.00	 	 	1.000	200.00
Банка д/сып.продуктов керам. h=16см 600мл "Бабочки"
конус (со стразами) Енса L2430380 L2430380		шт	210.00	 	 	1.000	210.00
Банка д/сып.продуктов пласт. 0,3л "Премиум" с герм.
крышкой Полимербыт С43101 (2), ш. С43101		шт	40.00	 	 	1.000	40.00
Банка д/сып.продуктов пласт. 0,5л "Премиум" с герм.
крышкой Полимербыт с43201 (2), ш. с43201		шт	42.00	 	 	1.000	42.00
Банка д/сып.продуктов пласт. 1,5л Бытпласт С12504		шт	107.00	 	 	3.000	321.00
Банка д/сып.продуктов пласт. 2,5л "Экзотика" Альтернатива М602		шт	115.00	 	 	2.000	230.00
Банка д/сып.продуктов стекло 1,2л "Бабочка" квадрат S&T 610баб		шт	168.00	 	 	4.000	672.00
Банка д/сып.продуктов стекло 1,2л "Пион" квадрат S&T 610пион		шт	168.00	 	 	4.000	672.00
Банка д/сып.продуктов стекло 1,5л "Sunflower" с пластм.крышкой треугольная Domenik DM2310-4-12		шт	200.00	 	 	1.000	200.00
Банка д/сып.продуктов стекло 12*9*12,5см Купман DP3000070		шт	85.00	 	 	10.000	850.00
Банка д/сып.продуктов стекло 16,5*12*17,5см Купман DP3000080		шт	199.00	 	 	1.000	199.00
Банка д/сып.продуктов стекло 16,5*12*17,5см Купман DP3000080		шт	200.00	 	 	5.000	1'000.00
Баночка д/специй двойная "Бабочки"+ ложки (со стразами)
Енса L2430356 (3), ш.к. 46069 L2430356		шт	210.00	 	 	1.000	210.00
Блюдо 21х21см "Bamboo"квадратное Domenik
DM2220/DM9909 (3), ш.к. 6900458222204 DM2220/DM9
909		шт	394.00	 	 	1.000	394.00
Блюдо керам. 25,5х15см "Swarovski" S&T 9713 (3), ш.к. 9713		шт	340.00	 	 	1.000	340.00
Бокс универсальный большой 4-х секц. голубой IDEA М2768гол		шт	910.00	 	 	1.000	910.00
Бокс универсальный большой 4-х секц. темно-синий IDEA М2768т.син		шт	910.00	 	 	1.000	910.00
Бульонница стекло 560мл дымч-ая Luminarc 74836/H0255 (2),
ш.к. 0026102748367 74836/H0255		шт	130.00	 	 	6.000	780.00
Бутылка д/масла 600мл "Пион" Енса L1581325 (2), ш.к.
4606900452763 L1581325		шт	215.00	 	 	1.000	215.00
Бутылка д/масла 600мл "Рябина" (со стразами) Енса
L2430301 (3), ш.к. 4606900694101 L2430301		шт	270.00	 	 	1.000	270.00
Ваза -бокал стекло 3,5л Неман N2231/620/N2231/6205 (2), ш.к.
4810192002586 N2231/620/N2
231/6205		шт	540.00	 	 	1.000	540.00
Ваза д/цветов стекло 26см ручная роспись Виком 508 (3),
ш.к. 4690342213785 508		шт	490.00	 	 	1.000	490.00
Ваза д/цветов стекло 26см ручная роспись Виком 560 (3),
ш.к. 4690342214300 560		шт	490.00	 	 	1.000	490.00
Ваза д/цветов стекло 26см цилиндр ИП Патрикеев 42 (2),
ш.к. 4600700000865 42		шт	363.00	 	 	1.000	363.00
Ваза д/цветов стекло 26см цилиндр ИП Патрикеев 66 (3),
ш.к. 4600700000858 66		шт	363.00	 	 	1.000	363.00
Ведро пласт. 9л круглое с крышкой голубое Svip SV3206гол		шт	140.00	 	 	1.000	140.00
Держатель д/емкостей Полимербыт С787 (1), ш.к.
4601532103496 С787		шт	45.00	 	 	5.000	225.00
Дуршлаг d=12см LUX L-240 (2), ш.к. 8693395002401 L-240		шт	80.00	 	 	1.000	80.00
Емкость д/лука Альтернатива М942 (2), ш.к. 4607084489774 М942		шт	56.00	 	 	1.000	56.00
Канистра 22л со сливом Альтернатива М268 (3), ш.к.
4607084475210 М268		шт	470.00	 	 	1.000	470.00
Кастрюля 2,1 л "Жар-птица" со стекл.кр. Interos 3063/2,1		шт	1'060.00	 	 	2.000	2'120.00
Кастрюля 3л эмаль, б/деколи СТЭМ г.Лысьва С1612АП2 (3),
ш.к. 4602807739273 С1612АП2		шт	472.00	 	 	1.000	472.00
Кастрюля 4,5л эмаль, цилиндр. б/деколи СТЭМ г.Лысьва
С1615АП2 (2), ш.к. 4602807739952 С1615АП2		шт	550.00	 	 	2.000	1'100.00
Кастрюля 5,1 л "Жар-птица" со стекл. кр. Interos 3063/5,1		шт	1'470.00	 	 	1.000	1'470.00
Кастрюля 5,1 л "Розы" со стекл. кр. Interos 7319/5,1 (3), ш.к. 7319/5,1		шт	1'460.00	 	 	1.000	1'460.00
Кастрюля 5,1 л "Фрукты" полноцветная со стекл.кр. Interos 2024/5,1		шт	1'390.00	 	 	1.000	1'390.00
Кастрюля 5,1 л "Фрукты" полноцветная со стекл.кр. Interos 2024/5,1		шт	1'060.00	 	 	1.000	1'060.00
Кастрюля д/СВЧ 0,7л жаропр.стекло "Сетка" с крышкой
Добрая Традиция OV086 (3), ш.к. 2 OV086		шт	365.00	 	 	1.000	365.00
Кастрюля д/СВЧ 0,8л жаропр.стекло "Лабиринт" с крышкой
Добрая Традиция OV022 (3), ш.к OV022		шт	360.00	 	 	1.000	360.00
Кастрюля д/СВЧ 0,9л круглая "Galaxy" лайм Plastic Center ПЦ2270ЛМ		шт	70.00	 	 	3.000	210.00
Кастрюля д/СВЧ 1,25л прямоуг. "Galaxy" лайм Plastic Center ПЦ2260ЛМ		шт	80.00	 	 	2.000	160.00
Кастрюля эмаль 2,1 л "Фрукты" полноцветная со стекл.кр. Interos 2024/2,1		шт	1'101.00	 	 	1.000	1'101.00
Кастрюля эмаль 3,1 л "Жар-птица" со стекл.кр. Interos 3063/3,1		шт	1'190.00	 	 	2.000	2'380.00
Кастрюля эмаль 3,1л "Янтарь" 3D со стекл.кр. Interos 2588/4,0		шт	1'150.00	 	 	2.000	2'300.00
Кашпо д/цветов с поддоном 1,8л "Зеленая страна"
Альтернатива М1881 (2), ш.к. 46070845 М1881		шт	100.00	 	 	1.000	100.00
Кашпо д/цветов с поддоном 1,9л "Жасмин" Ником 16527 (2),
ш.к. 2000014337015 16527		шт	120.00	 	 	1.000	120.00
Кашпо д/цветов с поддоном 10,4л "Фелиция" колор Martika
С106К (2), ш.к. 4607049784111 С106К		шт	160.00	 	 	2.000	320.00
Кашпо д/цветов с поддоном 10,4л "Фелиция" мрамор Martika
С106М (2), ш.к. 460704978433 С106М		шт	160.00	 	 	1.000	160.00
Кашпо д/цветов с поддоном 1л "Азалия" белое с декором
Альтернатива М1722 (2), ш.к. 46 М1722		шт	70.00	 	 	2.000	140.00
Кашпо д/цветов с поддоном 1л "Лилия" белое с декором
Альтернатива М1734 (2), ш.к. 460 М1734		шт	70.00	 	 	1.000	70.00
Ковш 0,8л пластм. ассорти Мегапласт 436 (1), ш.к.
4620759190881 436		шт	40.00	 	 	2.000	80.00
Комод 4-х ярус. ширина 24,5см "Deco.Exotik" Plastic Center
ПЦ3786ЭК (0), ш.к. 4690231 ПЦ3786ЭК		шт	1'630.00	 	 	1.000	1'630.00
Комплект WC "Компакт" белый Svip SV3114БЛ (1), ш.к.
4630004771123 SV3114БЛ		шт	80.00	 	 	3.000	240.00
Комплект WC "Стиль" голубой пастельный Svip SV3215ГЛП
(2), ш.к. 4630004774896 SV3215ГЛП		шт	90.00	 	 	3.000	270.00
Комплект WC Супер мини голубой Svip SV3002ГЛП		шт	64.00	 	 	1.000	64.00
Комплект WC Супер мини серебряный Svip SV3002СБ		шт	64.00	 	 	1.000	64.00
Контейнер д/мусора "Zoo" 0,5л Полимербыт С490		шт	65.00	 	 	1.000	65.00
Контейнер д/мусора 10л Полимербыт С163 (2), ш.к.
4601532106350 С163		шт	176.00	 	 	3.000	528.00
Контейнер д/мусора 15л "Ролл Топ" мрамор IDEA М2466мр		шт	310.00	 	 	1.000	310.00
Контейнер д/мусора 1л "Флер" Полимербыт С390 (1), ш.к.
4601532003901 С390		шт	100.00	 	 	1.000	100.00
Контейнер д/мусора 6л "Цветы" VIOLET HOUSE 0195цветы
(2), ш.к. 4627072581617 0195цветы		шт	315.00	 	 	1.000	315.00
Контейнер д/мусора 7л " Хапс" бежевый мрамор IDEA М2470беж.мр		шт	220.00	 	 	1.000	220.00
Контейнер д/мусора 7л "Хапс" мрамор IDEA М2470мр		шт	220.00	 	 	2.000	440.00
Контейнер д/мусора 8л зеленый мрамор IDEA М2481зел.мр		шт	240.00	 	 	1.000	240.00
Контейнер д/продуктов 7л (д/солений) Альтернатива М1252		шт	330.00	 	 	2.000	660.00
Контейнер д/рукоделия "Ностальгия" овальный Альтернатива М1841		шт	140.00	 	 	1.000	140.00
Контейнер д/СВЧ 1,25л "Рондо" двухсекционный с декором
Бытпласт С11737 (3), ш.к. 4607 С11737		шт	70.00	 	 	2.000	140.00
Контейнер д/СВЧ 1,75л "Рондо" с декором Бытпласт С11738
(3), ш.к. 4607016817163 С11738		шт	80.00	 	 	2.000	160.00
Контейнер д/СВЧ и заморозки 0,5л "Смак. Ромашки" Альтернатива М2009		шт	35.00	 	 	2.000	70.00
Контейнер д/хранения 8,5л "Доктор+" Альтернатива М2049		шт	280.00	 	 	1.000	280.00
Корзина д/белья угловая бирюза Plastic Center ПЦ1695БРЗ		шт	510.00	 	 	1.000	510.00
Корзина универсальная 22л Полимербыт с822 (2), ш.к.
4601532008227 с822		шт	392.00	 	 	3.000	1'176.00
Креманка 80мл "Айсвиль" Pasabahce 41016 67495		шт	74.00	 	 	5.000	370.00
Креманка стекло 12х8см коричневая C.P Кт0179-BR (2), ш.к.
4606100191974 Кт0179-BR		шт	60.00	 	 	3.000	180.00
Креманка стекло 12х8см темно-бордовая C.P Кт0179DCL		шт	57.00	 	 	2.000	114.00
Креманка стекло 12х8см темно-бордовая C.P Кт0179DCL (2),
ш.к. 4606100191998 Кт0179DCL		шт	60.00	 	 	3.000	180.00
Креманка стекло 12х8см темно-синяя C.P Кт0179DBL		шт	60.00	 	 	2.000	120.00
Кружка керам. 320мл "Перед ночью" ТМ Caramel 789-1497 (2),
ш.к. 6900063310013 789-1497		шт	54.00	 	 	5.000	270.00
Кружка керам. 320мл "Перед ночью" ТМ Caramel 789-1497 (2),
ш.к. 6900063310013 789-1497		шт	55.00	 	 	1.000	55.00
Кружка керам. 330мл "Автомобили ретро" ТМ Caramel
502137101 (3), ш.к. 288502113710 502137101		шт	54.00	 	 	5.000	270.00
Кружка керам. 330мл "Сочи Горнолыжный спорт" Polystar
5550210 (3), ш.к. 4606900758087 5550210		шт	120.00	 	 	5.000	600.00
Кружка керам. 330мл "Сочи Конькобежный спорт" Polystar
5550215 (3), ш.к. 460690075813 5550215		шт	120.00	 	 	6.000	720.00
Кружка керам. 350мл "Бабочки" (со стразами) Енса L2430357
(3), ш.к. 4606900694668 L2430357		шт	90.00	 	 	6.000	540.00
Кружка керам. 400мл "Chili Garland" Domenik DM2417 (3), ш.к.
6900458241717 DM2417		шт	72.00	 	 	5.000	360.00
Кружка мерная 1л Полимербыт С116 (1), ш.к. 4601532001167 С116		шт	63.00	 	 	5.000	315.00
Кружка мерная 500мл Полимербыт С146 (1), ш.к.
4601532001464 С146		шт	42.00	 	 	2.000	84.00
Кружка стекло 310мл "Поланд" конус Luminarc 90641 (3), ш.к.
5902740003707 90641		шт	100.00	 	 	5.000	500.00
Кружка фарфор 300мл "Cheery Elf" Domenik DM2183 (3), ш.к.
6900458221832 DM2183		шт	72.00	 	 	6.000	432.00
Крышка д/СВЧ d=22см Полимербыт С227		шт	50.00	 	 	3.000	150.00
Крышка д/СВЧ d=24,5см прозрачная IDEA М1415пр 88036		шт	60.00	 	 	2.000	120.00
Крышка д/СВЧ и холодильника d=23см с декором Бытпласт С11600 182788		шт	55.00	 	 	4.000	220.00
Крючок на липучке (комплект 50шт.) IDEA М2230 М2230		шт	10.00	 	 	44.000	440.00
Кувшин 1,8л "Тюльпан" (кумган) Альтернатива М244 (2), ш.к.
4607084474657 М244		шт	120.00	 	 	2.000	240.00
Лейка д/комнатных растений 1,5л "Райский сад" Альтернатива М1770 197321		шт	105.00	 	 	3.000	315.00
Лейка д/комнатных растений 3л Мегапласт 1375 180852		шт	75.00	 	 	2.000	150.00
Лейка д/комнатных растений с опрыскивателем IDEA М2154 131815		шт	135.00	 	 	5.000	675.00
Лимонница Альтернатива М1200 (1), ш.к. 4607084495799 М1200		шт	50.00	 	 	2.000	100.00
Лимонница Бытпласт С12183 (1), ш.к. 4607016814841 С12183		шт	60.00	 	 	1.000	60.00
Ложка десертная "Славяна" 1,2мм Амет 1с310 156506		шт	30.00	 	 	20.000	600.00
Лоток д/метизов 37,5х22,5х16 см ассорти Plastic Center
ПЦ3742 (3), ш.к. 4690231036501 ПЦ3742		шт	145.00	 	 	3.000	435.00
Миска 1,5л d=22см средняя Martika С42 (2), ш.к.
4607049780335 С42		шт	30.00	 	 	3.000	90.00
Миска 3л круглая салатовая IDEA М1312сал (2), ш.к.
4605196006773 М1312сал		шт	50.00	 	 	1.000	50.00
Миска 4л оранжевая ПластХозТорг S-704 161433		шт	70.00	 	 	3.000	210.00
Миска сталь d=18см BELEZZA 6068839 197614		шт	50.00	 	 	10.000	500.00
Миска сталь d=24см BELEZZA 6068840 197615		шт	86.00	 	 	9.000	774.00
Н-р банок д/сып. продуктов 3шт. "Ассорти" 1л на полке
