						
						
						
Остатки ТМЦ на складах						
На дату: 24.08.20						
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 10x460 мм 49-10460		шт	290.00	2.000	580.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 10x600 мм 49-10600		шт	440.00	1.000	440.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 12x160 мм 49-12160		шт	140.00	1.000	140.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 12x260 мм 49-12260		шт	170.00	3.000	510.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 12x310 мм 49-12310		шт	220.00	1.000	220.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 14x160 мм 49-14160		шт	170.00	3.000	510.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 14x210/600 мм 49-14210/49-14600		шт	500.00	1.000	500.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 14x460 мм 49-14460		шт	350.00	2.000	700.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 16x160 мм 49-16160		шт	205.00	2.000	410.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 16x210/460 мм 49-16210/49-16460		шт	470.00	1.000	470.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 18x260/600 мм 49-18260/49-18600		шт	395.00	1.000	395.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 18x260/600 мм 49-18260/49-18600		шт	665.00	1.000	665.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 18x460 мм 49-18460		шт	520.00	1.000	520.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 20x260/310 мм 49-20310/49-20260		шт	425.00	1.000	425.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 22x260/310 мм 49-22310/49-22260		шт	520.00	1.000	520.00	
