						
						
						
Остатки ТМЦ на складах						
На дату: 24.08.20						
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Volpe звонок беспроводной, 80м, 16 мелодий, индикатор, бел, блистер UDB-Q026 W-R1T1-1		шт	435.00	1.000	435.00	
Volsten скоба круглая пластиковая  4мм (уп. 50 шт.) V02-6W-1-04-050		шт	30.00	3.000	90.00	
АГРИКОЛА д/комнатных растений удобрение 25гр. пакет 04-059		шт	25.00	10.000	250.00	
Аккумулятор Camelion R03 600mAh Ni-MH BL2		шт	100.00	2.000	200.00	
Аккумулятор Camelion R03 900mAh Ni-MH BL2		шт	130.00	2.000	260.00	
Аккумулятор Camelion R6 1000mAh Ni-Cd BL2		шт	125.00	1.000	125.00	
Аккумулятор Camelion R6 1500mAh Ni-MH BL2		шт	170.00	1.000	170.00	
Аккумулятор Camelion R6 2000mAh Ni-MH BL2		шт	120.00	1.000	120.00	
Аккумулятор Camelion R6 2000mAh Ni-MH BL2		шт	215.00	1.000	215.00	
Аккумулятор Camelion R6 2300mAh Ni-MH BL2		шт	195.00	2.000	390.00	
Аккумулятор Varta Ready2Use 56706.101.404/414 /R6 2100mAh Ni-MH BL4 ЗАРЯЖ		шт	210.00	2.000	420.00	
АЛЛЮР ЗН 1-2-3 Замок накладной, аналог ФОРТ(2 ригеля), Петрозаводск (20)		шт	1'090.00	2.000	2'180.00	
АЛЛЮР ЗН 1-2-3 Замок накладной, аналог ФОРТ+(3 ригеля), Петрозаводск (20)		шт	1'190.00	2.000	2'380.00	
АЛЛЮР ЗН 1-3А 2 риг. Аналог Зенит ЗН1-3 и Каменск-Уральского замка накладного Замок н		шт	1'020.00	2.000	2'040.00	
АЛЛЮР ЗН 1-3А-1 2 риг. Аналог Зенит ЗН1-3 и Каменск-Уральского замка накладного Замок		шт	940.00	2.000	1'880.00	
АЛЛЮР ЗН1-1 А   1 риг. Аналог Глазов ЗН1-1.1 Замок накладной (20)		шт	990.00	2.000	1'980.00	
АЛЛЮР ЗН1-2 А   2 риг. Аналог Пенза ЗН1-1 Замок накладной (20)		шт	990.00	2.000	1'980.00	
АЛЛЮР ЗН1А-1М   2 риг. Аналог Казань ЗН1А-1М Замок накладной (20)		шт	890.00	2.000	1'780.00	
Антинакипин д/стиральных и посудомоечных машин 100г Selena, ЧС-093		шт	30.00	5.000	150.00	
Аптечка "World of Tanks"  пластик 12", белая BR5019 Blocker		шт	400.00	1.000	400.00	
Аптечка "World of Tanks"  пластик 12", белая BR5019 Blocker		шт	405.00	1.000	405.00	
Аэрозоль Чистый Дом 150мл. (от летающ. и ползающ.) б/запаха 02-552 (дихлофос) Китай		шт	120.00	5.000	600.00	
Аэрозоль Чистый Дом 400мл., трубочка (от летающ. и ползающ.) б/запаха 02-855 (дихлофо		шт	300.00	4.000	1'200.00	
Аэрозоль Чистый Дом 600мл., трубочка (от летающ. и ползающ.) б/запаха 02-852 (дихлофо		шт	410.00	1.000	410.00	
Банка д/сып.продуктов стекло 16,5*12*17,5см Купман DP3000080		шт	200.00	2.000	400.00	
Банка д/хранения продуктов с закручивающейся крышкой Pattern 0,35л, PT1127 Plast team		шт	35.00	1.000	35.00	
Банка д/хранения продуктов с закручивающейся крышкой Pattern 0,35л, PT1127/ШК1838 Pla		шт	40.00	5.000	200.00	
Банка д/хранения продуктов с закручивающейся крышкой Pattern 0,7л, PT1128/ШК1852 Plas		шт	50.00	3.000	150.00	
Банкетка круглая 30*30*30см (серебро) до 100кг. БН140БС ЗМИ		шт	950.00	1.000	950.00	
Банкетка круглая 30*30*30см (серебро) до 100кг. БН140СБ ЗМИ		шт	950.00	1.000	950.00	
Банкетка круглая детская 30*30*30см (медн. антик) до 100кг. БН140М ЗМИ		шт	950.00	2.000	1'900.00	
Банник св-к влагозащ. круг 60W Е27 d187x83 алюмин. стекло 130°С бел. НБП03-60-001 IP5		шт	360.00	2.000	720.00	
Банник св-к влагозащ.овал 60W Е27 210x104x84 реш., алюм. стекло бел. НБП 04-60-002 IP		шт	365.00	2.000	730.00	
Безмен электронный Точный вес Garin DS1 до 40кг, деление 10гр, ЖК дисплей, CR2032 в к		шт	630.00	2.000	1'260.00	
Безмен электронный Точный вес Garin DS2 до 40кг, деление 10гр, ЖК дисплей, 2xR03 в ко		шт	525.00	1.000	525.00	
Биосостав Дачный Н (1л) д/биотуалетов (накопит. бачок)		шт	275.00	3.000	825.00	
Биосостав Дачный С (0,5л) д/биотуалетов (сливной бачок)		шт	165.00	1.000	165.00	
Биосостав Дачный С (1л) д/биотуалетов (сливной бачок)		шт	255.00	1.000	255.00	
Блендер Energy EN-130, 300Вт, погружной, 2 скор, металл. насадка 152463		шт	1'280.00	1.000	1'280.00	
Блендер Energy EN-268, 300Вт, 4 скор., чаша 1,5л, кофемолка 152458		шт	1'855.00	1.000	1'855.00	
Блендер ERGOLUX ELX-HB02-C31 нерж.сталь, 2 скорости, 500W, 220-240V  бело-серый  8163		шт	1'430.00	1.000	1'430.00	
Блендер IR-5021, 200Вт, пластик. насадка		шт	1'340.00	1.000	1'340.00	
Бордоская смесь (защита от болезней) 200гр, пакет Грин Бэлт 01-526		шт	85.00	1.000	85.00	
Будильник EA-06 черный Energy 9506		шт	340.00	1.000	340.00	
Будильник Energy EA-02 стальной 9,2*3,3*9,2см, корпус металл, АА*1шт нет в компл 3802		шт	330.00	2.000	660.00	
Будильник HomeStar HC-01 круглый 9,2*3,3см, корпус пластик, АА*1шт нет в компл 3792 Р		шт	225.00	1.000	225.00	
Будильник HomeStar HC-03 белый (круглый) 10,3*5*11,4см, корпус пластик, АА*1шт нет в		шт	365.00	1.000	365.00	
Будильник HomeStar HC-04 белый циферблат (прямоуг.) 11,7*6,6*8,4см, пластик, АА*1шт н		шт	375.00	1.000	375.00	
Будильник HomeStar HC-05 белый 9,6*4*10,2см, корпус пластик, АА*1шт нет в компл 3798		шт	370.00	1.000	370.00	
Будильник HomeStar HC-05 черный 9,6*4*10,2см, корпус пластик, АА*1шт нет в компл 3799		шт	350.00	2.000	700.00	
Бумага д/выпекания 28см*6м//30см*6м В АССОРТ.		шт	50.00	5.000	250.00	
Бумага д/выпекания 28см*8м, беленная, т/у Kroll		шт	40.00	3.000	120.00	
Бумага д/выпечки 30мм*8м, небеленая, коробка  AST		шт	45.00	3.000	135.00	
БЭБИ-ДЭТА Молочко спрей детское (с 2 лет) От комаров 100мл (на кожу)		шт	150.00	1.000	150.00	
Вар садовый (защита д/деревьев) 150гр. Грин Бэлт 01-597		шт	50.00	2.000	100.00	
Вафельница Energy EN-224, 750Вт, d=20см, конус в компл., белая 152310		шт	1'550.00	1.000	1'550.00	
Ведро 10л (с отжимом/вставкой) круглое пластик микс 70030 York		шт	275.00	5.000	1'375.00	
Ведро 10л (с отжимом/вставкой) круглое, пластик, микс 70030 York		шт	260.00	1.000	260.00	
Ведро 10л, подходит д/пищевых продуктов  (ПВД) мягкое В10-01, микс, ОНЕСТ		шт	175.00	2.000	350.00	
Ведро 10л, подходит д/пищевых продуктов  (ПВД) мягкое В10, микс, ОНЕСТ		шт	185.00	2.000	370.00	
Ведро 10л, с крышкой подходит д/пищевых продуктов ВК-01, микс, ОНЕСТ		шт	140.00	5.000	700.00	
Ведро 12л МОП (с отжимом) SV3202, круглое,  SVIP		шт	320.00	6.000	1'920.00	
Ведро 12л, подходит д/пищевых продуктов  (ПВД) мягкое В12-01, микс, ОНЕСТ		шт	175.00	3.000	525.00	
Ведро 13л КЛАССИКА МОП (с отжимом) SV3203, прямоугольное, бордо SVIP		шт	330.00	2.000	660.00	
Ведро 13л КЛАССИКА МОП (с отжимом) SV3203, прямоугольное, индиго SVIP		шт	330.00	2.000	660.00	
Ведро 8л МОП (с отжимом) ПРАКТИК SV3864 аквамарин SVIP		шт	210.00	2.000	420.00	
Ведро 8л ПРАКТИК SV3955 SVIP		шт	185.00	1.000	185.00	
Ведро для мусора круглое 5л, нерж. сталь, матовое, арт.310430 Mallony/Рыжий Кот		шт	750.00	1.000	750.00	
Ведро для мусора Лондон круглое 3л, d=17см, h=25см, педаль, нерж. сталь, Рыжий Кот  D		шт	665.00	1.000	665.00	
Ведро для мусора Нью-Йорк круглое 3л, d=17см, h=25см, педаль, нерж. сталь, Рыжий Кот		шт	610.00	1.000	610.00	
Ведро для мусора Париж круглое 3л, d=17см, h=25см, педаль, нерж. сталь, Рыжий Кот  DB		шт	665.00	1.000	665.00	
Веревка бельевая (шнур) х/б d=6мм 10м, AST		шт	45.00	5.000	225.00	
Веревка хоз. 003 d=3мм 10м ПП 4-прядн. с сердечн., белая		шт	15.00	3.000	45.00	
Веревка хоз. 003 d=3мм 20м ПП 4-прядн. с сердечн., белая		шт	25.00	3.000	75.00	
Веревка хоз. 007 d=7мм 20м ПП (8+4)-прядн. с сердечн. (двухслойн), цветная		шт	100.00	5.000	500.00	
Веревка хоз. 008 d=8мм 20м ПП (8+6)-прядн. с сердечн. (двухслойн), цветная		шт	165.00	1.000	165.00	
Веревка хоз. 010 d=10мм 10м ПП (9+9)-прядн. с сердечн. (двухслойн), цветная		шт	120.00	4.000	480.00	
Весы кухон. механич. HomeStar HS-3004M (зеленые) до 1кг, деление 20гр, объем чаши 400		шт	165.00	1.000	165.00	
Весы кухон. механич. HomeStar HS-3005M (белые) до 5кг, деление 40гр, 2801		шт	340.00	1.000	340.00	
Весы кухон. механич. HomeStar HS-3005M (белые) до 5кг, деление 40гр, 2801		шт	345.00	1.000	345.00	
Весы кухон. эл. HomeStar HS-3001 (белые) до 5кг, дел 1гр, съемн чаша 1,2л (АА*2 в ком		шт	730.00	2.000	1'460.00	
Весы кухон. эл. HOMESTAR HS-3006, 5 кг, стейк 4536		шт	725.00	1.000	725.00	
Весы кухон. эл. HomeStar HS-3008 (стекло, специи) до 7кг, дел 1гр (CR2032*1шт в компл		шт	670.00	1.000	670.00	
Весы кухон. эл. HomeStar HS-3008 (стекло, черные) до 7кг, дел 1гр (CR2032*1шт в компл		шт	670.00	2.000	1'340.00	
Весы кухон.механич. AST KS-03, до 5кг, деление 40гр		шт	420.00	1.000	420.00	
Весы кухонные AST KS-09, до 2кг, деление 20гр, емк яблоко		шт	455.00	1.000	455.00	
Весы напольные механич. ENERGY ENМ-408D, 120 кг, деление 1кг 3115		шт	650.00	2.000	1'300.00	
Весы напольные эл. ENGY EN-419C (стекло) 150кг дел. 100гр, 33*33см, CR2032 в компл.11		шт	860.00	1.000	860.00	
Весы напольные эл. ENGY EN-419C (стекло) 150кг дел. 100гр, 33*33см, CR2032 в компл.11		шт	920.00	1.000	920.00	
Весы напольные эл. ENGY EN-419E (стекло) 150кг дел. 100гр, 33*33см, CR2032 в компл.11		шт	890.00	1.000	890.00	
Вешалка "Ажур4" 48*21*8см (бел. серебро) ВНА200БС ЗМИ		шт	315.00	1.000	315.00	
Вешалка "Норма 7" 70,5*8*16,5см (белое серебро) ВН66БС ЗМИ		шт	345.00	1.000	345.00	
Вешалка для ванной с 3-мя крючками на присосках Бриллиант, нерж. сталь, W4220A, 31146		шт	180.00	1.000	180.00	
Вешалка для ванной с 3-мя крючками Стрекозы SSA-025-3, нерж. сталь, Рыжий Кот 310787		шт	290.00	2.000	580.00	
Вешалка для ванной с 3-мя крючками, нерж. сталь, SSA-017-3, 310788, Рыжий Кот		шт	240.00	2.000	480.00	
Вешалка для ванной с 5-мя крючками на присосках Бриллиант, нерж. сталь, W2024E, 31145		шт	175.00	1.000	175.00	
Вешалка напол. (стойка) разборн. "Корона" h=1,8м, d=64см (бел. серебро) пленка ВНП17Б		шт	1'290.00	1.000	1'290.00	
Вешалка напол. (стойка) разборн. "Корона" h=1,8м, d=64см (бел. серебро) пленка ВНП17Б		шт	1'300.00	1.000	1'300.00	
Вешалка напол. (стойка) разборн. "Корона" h=1,8м, d=64см (черн.) пленка ВНП17Ч ЗМИ		шт	1'295.00	2.000	2'590.00	
Вешалка напол. (стойка) разборн. на диске "Дерево" h=1,8м, d=38см (медн. антик) карт.		шт	2'395.00	1.000	2'395.00	
Вешалка напол. гардероб. Радуга1 150*82*39 (медн. антик) до 20кг/15плеч. д/обуви, кор		шт	1'150.00	1.000	1'150.00	
Вешалка напол. гардероб. Радуга1 150*82*39 (черн.) до 20кг/15плеч. д/обуви, коробка В		шт	1'150.00	1.000	1'150.00	
Вешалка напол. костюмная разборн. "Стиль3" 108*47*35 (черн.) коробка ВНП300Ч ЗМИ		шт	1'380.00	1.000	1'380.00	
Вешалка напол. костюмная разборн. "Стиль3" 108*47*35 (черн.) коробка ВНП300Ч ЗМИ		шт	1'490.00	1.000	1'490.00	
Вешалка настенная "Кружева3" (3 крюч.) 20*13*4см (черн.) ВН275Ч ЗМИ		шт	130.00	1.000	130.00	
Вешалка настенная "Кружева5" (5 крюч.) 40*13*4см (медн. антик) ВН276М ЗМИ		шт	205.00	1.000	205.00	
Вешалка настенная "Кружева5" (5 крюч.) 40*13*4см (черная) ВН276Ч ЗМИ		шт	220.00	1.000	220.00	
Вешалка настенная "Норма 3" (3 крюч.) 24,5*8*16,5см (медный антик) ВН64М ЗМИ		шт	195.00	1.000	195.00	
Вешалка настенная "Норма 5" (5 крюч.) 48*8*16,5см (медный антик) ВН24М ЗМИ		шт	280.00	1.000	280.00	
Вешалка настенная "Норма 5" (5 крюч.) 48*8*16,5см (черная) ВН24Ч ЗМИ		шт	280.00	1.000	280.00	
Вешалка настенная "Норма 7" (7 крюч.) 70,5*8*16,5см (медн. антик) ВН66М ЗМИ		шт	360.00	1.000	360.00	
Вешалка с полкой (2 яруса/ 9 крюч.) 80*72*21см (черная) ВСП9Ч ЗМИ		шт	1'060.00	1.000	1'060.00	
Вешалка с полкой (4 крюч.) 40*28*21см (медный антик) ВСП5М ЗМИ		шт	475.00	1.000	475.00	
Вешалка с полкой (6 крюч.) 80*28*21см (медный антик) ВСП7М ЗМИ		шт	770.00	1.000	770.00	
Вешалка с полкой (8 крюч.) 100*28*21см (бел. серебро) ВСП169БС ЗМИ		шт	970.00	1.000	970.00	
Вешалка с полкой (8 крюч.) 100*28*21см (черн.) ВСП169Ч ЗМИ		шт	900.00	1.000	900.00	
Вешалка с полкой (8 крюч.) 100*28*21см (черн.) ВСП169Ч ЗМИ		шт	905.00	1.000	905.00	
Вешалка с полкой (8 крюч.) 100*28*21см (черн.) ВСП169Ч ЗМИ		шт	1'295.00	1.000	1'295.00	
Вешалка-плечики 48-50 р-р, Go safe, пластик, BQ1882ЧР BranQ		шт	50.00	13.000	650.00	
Вешалка-плечики 52-54 р-р, Go safe, пластик, BQ1881ЧР BranQ		шт	50.00	4.000	200.00	
Вилка В6-001 6А 250В (пластик, прям., черная) Белая Церковь (360шт)		шт	30.00	4.000	120.00	
Вилка В6-001 6А 250В (пластик, прям., черная) Белая Церковь (360шт)		шт	35.00	10.000	350.00	
Вилка В6-001 6А 250В (полистирол, прямая, белая, с кембриком) Витебск		шт	25.00	16.000	400.00	
Вилка В6-001 6А 250В (полистирол, черная, с кембриком) Витебск		шт	25.00	5.000	125.00	
Витебск ЭВ-01 звонок проводной 220В, мощн. 5Вт (пластик), трель 70-90дБА		шт	300.00	2.000	600.00	
Воронка с насадкой d=13, 400мл, ПП ШК3346 Радиан		шт	30.00	3.000	90.00	
Воронка Ультимо Д175 С250 250		шт	55.00	4.000	220.00	
Выпрямитель для волос ERGOLUX ELX-HS01-C64 черный/золото, 30W 220V  81705		шт	930.00	1.000	930.00	
Гарнизон сетевой фильтр ПВС 3х0.75 5 роз. 1,4 м 10А белый, земля, выкл.		шт	470.00	2.000	940.00	
Губка д/посуды "Макси" (10шт/уп) 93*65*27мм "МОЙ" арт.60140 MasterHouse		шт	65.00	5.000	325.00	
Губка д/посуды "Макси" (5шт/уп) 93*65*27мм "МОЙ" арт.60139 MasterHouse		шт	35.00	2.000	70.00	
Губка д/посуды "Мини/Миди" (10шт/уп) 78*50*25мм "МОЙ" арт.60138 MasterHouse		шт	40.00	1.000	40.00	
Губка д/посуды металл (нерж сталь) "Мальчик" 12шт/уп, цена за шт, (отгружать кратно 1		шт	25.00	7.000	175.00	
Губка д/посуды поролон/абразив "МОЙ Надолго" 5шт/уп, цена за уп, арт.60454 MasterHous		шт	45.00	3.000	135.00	
Губка для кафеля 140*70*40мм арт.2626 Рыжий Кот		шт	45.00	4.000	180.00	
Губка-чудо меламиновая 2шт/уп, 10*6*2,5см, цена за уп, MSp-01, 310250 Рыжий Кот		шт	35.00	3.000	105.00	
Декоратор д/крема 6 насадок JH80-1 пластик/винил Мультидом		шт	110.00	1.000	110.00	
Держатель д/зубных щеток Бабочки, керамика, TBH-FLY, 2793 Рыжий Кот		шт	175.00	1.000	175.00	
Держатель д/зубных щеток Бабочки, керамика, TBH-FLY, 2793 Рыжий Кот		шт	200.00	1.000	200.00	
Держатель д/зубных щеток Париж, керамика, TBH-P, 2909 Рыжий Кот		шт	175.00	1.000	175.00	
Держатель для зубных щеток Ирисы, керамика, 1992, Рыжий Кот		шт	200.00	1.000	200.00	
Держатель для зубных щеток Лесная полянка, керамика, 1110, Рыжий Кот		шт	210.00	1.000	210.00	
Держатель для зубных щеток Полынь, керамика, 1114, Рыжий Кот		шт	200.00	2.000	400.00	
Держатель для полотенца Бриллиант круг 15,8см, металл, крепление присоска, Рыжий Кот		шт	110.00	3.000	330.00	
Держатель для полотенца круг 15см, хром, крепление шуруп, BA-TR-1 310807 Рыжий Кот		шт	415.00	1.000	415.00	
Дихлофос №1 BOZ 600мл., трубочка (от тараканов/муравьев/клопов/блох/мух/ос/кожеедов)		шт	290.00	2.000	580.00	
Дихлофос ВАРАН 190мл. Форте зеленый универс (от ползающ. и летающ) б/запаха,аэрозоль		шт	90.00	2.000	180.00	
Дихлофос ВАРАН 200мл. Антиклоп 508259 (Сибиар)		шт	105.00	1.000	105.00	
Дихлофос ВАРАН 200мл. От клопов, аэрозоль 508259 (Сибиар)		шт	105.00	1.000	105.00	
Дихлофос ВАРАН 200мл. От клопов, аэрозоль 508259 (Сибиар)		шт	110.00	3.000	330.00	
Дихлофос ВАРАН 440мл. универс. б/запаха (от тараканов, муравьев, клопов, мух) аэрозол		шт	180.00	2.000	360.00	
Дождевик плащ на кнопках AST №9, XXL, 20мк		шт	60.00	8.000	480.00	
Дозатор д/жидкого мыла Бабочки, керамика, DIS-FLY, 2792 Рыжий Кот		шт	230.00	1.000	230.00	
Дозатор д/жидкого мыла Бабочки, керамика, DIS-FLY, 2792 Рыжий Кот		шт	240.00	2.000	480.00	
Дозатор для жидкого мыла Анемона, керамика, 1104, Рыжий Кот		шт	220.00	1.000	220.00	
Дозатор для жидкого мыла Ирисы, керамика, 1991, Рыжий Кот		шт	285.00	1.000	285.00	
Дозатор для жидкого мыла Париж, керамика, DIS-P, 2908 Рыжий Кот		шт	245.00	1.000	245.00	
Дозатор для жидкого мыла Полынь, керамика, 1112, Рыжий Кот		шт	265.00	1.000	265.00	
Доска разделочная Grosten 345*245*2мм, гибкая, цвет охра, PT1112/КОХР-30/ШК3457 Plast		шт	235.00	1.000	235.00	
ДУСТ 50гр. От тараканов/муравьев/клопов/блох/мух пакет 02-452 Чистый дом		шт	25.00	1.000	25.00	
Духовка Кедр (сталь) серая 40,5*25,5*31см с 2 противнями 30*20*2,5см		шт	3'000.00	1.000	3'000.00	
Дюбель ЗУБР "МАСТЕР" распорный полипропиленовый, тип "ЕВРО", 12 х 60 мм, 250 шт 1218		упак	1.00	87.000	87.00	
Дюбель универсальный BL 8*40 (15 шт) НАКРЕПКО 102409		шт	35.00	2.000	70.00	
Емкость д/хранения продуктов Pattern 0,5л, круглая, пудровый PT1098/КПД-26/ШК8903 Pla		шт	30.00	4.000	120.00	
Емкость д/хранения продуктов Polar 0,46л, квадратн, PT1674 Plast team		шт	30.00	1.000	30.00	
Емкость мерная 0,2л, РТ9092 Plast team		шт	55.00	5.000	275.00	
Емкость мерная HELSINKI 0,25л, РТ1357 Plast team		шт	35.00	7.000	245.00	
Емкость мерная HELSINKI 1л, РТ1359 Plast team		шт	65.00	5.000	325.00	
Ерш туалетный SV3116 КЛАССИКА, антрацит SVIP		шт	60.00	3.000	180.00	
Ерш туалетный SV3116 КЛАССИКА, белый SVIP		шт	60.00	6.000	360.00	
Ерш туалетный SV3850ЧР, БЛЭК Классика, черный SVIP		шт	55.00	8.000	440.00	
Ерш туалетный SV3860 ПРАКТИК SVIP 5		шт	45.00	2.000	90.00	
Ершик д/мытья бутылок SV3835, с губкой SVIP		шт	110.00	1.000	110.00	
Заглушка для розетки 01ИР.767556.015/ 757556.015 Минск		шт	5.00	9.000	45.00	
Зажигалка газовая ECOS, 68M-BL, черная 157823		шт	160.00	2.000	320.00	
Зажигалка газовая ECOS, GL-001G, зеленая 157795		шт	140.00	1.000	140.00	
Зажигалка газовая ECOS, GL-001R, красная 157793		шт	110.00	1.000	110.00	
Зажигалка газовая ECOS, GLF-002B, синяя 157800		шт	180.00	2.000	360.00	
Зарядное устройство Космос R03/R6x2/4 (250mA) 7 часов, КОС502		шт	530.00	1.000	530.00	
Зарядное устройство Трофи R03/R6x1/2 (160mA), TR-920		шт	330.00	1.000	330.00	
Захват д/банок проволочный, металл		шт	95.00	4.000	380.00	
Защита стены под выкл./роз. 1-мест. бел. (накладка 132х132 мм) ИУ (Витебск)		шт	35.00	3.000	105.00	
Защита стены под выкл./роз. 1-мест. прозрачная (накладка 132х132 мм) ИУ (Витебск)		шт	35.00	1.000	35.00	
Изолента 15/10 В АССОРТ.		шт	30.00	4.000	120.00	
Изолента 15/10 В АССОРТ.		шт	35.00	3.000	105.00	
Изолента 15/20 Safeline В АССОРТ,		шт	55.00	1.000	55.00	
Изолента 19/20 Safeline желтая		шт	75.00	3.000	225.00	
Изолента 19/20 Safeline синяя		шт	85.00	1.000	85.00	
Изолента 19/20 Safeline черная		шт	70.00	1.000	70.00	
Изолента ХБ 18мм/8м 100гр		шт	45.00	6.000	270.00	
Изолента ХБ 20мм 300гр		шт	120.00	2.000	240.00	
Кабель RG-6U 75 Ом Proconnect (0.9 жила сталь/медь,32x0.12 оплетка алюм) бухта 100м б		шт	20.00	28.500	570.00	
Кабель ВВГ 3х2,5пл 100м (ГОСТ) T.Plast /ЕВРО ПРОФИЛЬ сил. медн. плоск. дв. из. ПВХ		шт	80.00	0.050	4.00	
Кабель ВВГ-П 2х2,5 (бухта  50м) (ГОСТ) (Кабэкс) сил черн медн Плоский		м	55.00	0.100	5.50	
Кабель ВВГ-Пнг(А) 2х1,5 (бухта 50м) (ГОСТ) (Кабэкс)ш сил. медн нег		м	35.00	28.500	997.50	
Кабель ВВГ-Пнг(А) 3х2,5 (ГОСТ) 100 (Кабэкс)ш сил. черн. медн. Плоский . негорюч.		шт	75.00	68.400	5'130.00	
Кабель ВВГнг 2х2,5пл (бухта 50м) (ГОСТ) (Кабэкс)ш сил. медн. пл. нег. дв. из. ПВХ		м	55.00	87.200	4'796.00	
Кабель ВВГнг 2х2,5пл (бухта 50м) (ГОСТ) (Кабэкс)ш сил. медн. пл. нег. дв. из. ПВХ		м	60.00	3.200	192.00	
Кабель ВВГнг 3х1,5пл 100м (ГОСТ) T.Plast /ЕВРО ПРОФИЛЬ сил. медн. плоск. негорюч. дв.		м	50.00	14.500	725.00	
Кабель ВВГнг 3х1,5пл 100м (ГОСТ) T.Plast /ЕВРО ПРОФИЛЬ сил. медн. плоск. негорюч. дв.		м	55.00	50.000	2'750.00	
Канифоль 20гр.		шт	35.00	3.000	105.00	
Канифоль 20гр.		шт	50.00	1.000	50.00	
Карандаш д/чистки утюгов 25г Selena, ЧС-17		шт	25.00	7.000	175.00	
Карбамид (мочевина) 1кг, азот 42,6% удобрение Пермагробизнес		шт	65.00	2.000	130.00	
Карбофос 60гр. (от домашних муравьев и листогрызущих) малатион, пакет Грин Бэлт 01-01		шт	55.00	5.000	275.00	
Кассета сменная Барьер 4 СТАНДАРТ 1шт/уп (д/водопроводной воды), ресурс 350л		шт	330.00	4.000	1'320.00	
Кассета сменная Барьер 6 ЖЕСТКОСТЬ 1шт/уп (смягчение жесткой воды) ресурс 350л		шт	380.00	6.000	2'280.00	
Кассета сменная Барьер 7 ЖЕЛЕЗО 1шт/уп (от тяжелых металлов и железа), ресурс 350л		шт	330.00	3.000	990.00	
Кассета сменная Барьер 7 ЖЕЛЕЗО 1шт/уп (от тяжелых металлов и железа), ресурс 350л		шт	380.00	4.000	1'520.00	
Кипятильник 0,5кВт (Вел.Луки) 220V		шт	170.00	1.000	170.00	
Кипятильник 0,5кВт IRIT, IR-9001 (Китай) (размером на стакан) 220V		шт	85.00	3.000	255.00	
Кипятильник 1,2кВт (Вел.Луки)  220V		шт	190.00	5.000	950.00	
Кипятильник 1,5 кВт (Вел.Луки) 220V		шт	210.00	1.000	210.00	
Кипятильник 1,5кВт (Вел.Луки) 220V		шт	200.00	4.000	800.00	
Кипятильник 1кВт (Вел.Луки) 220V		шт	170.00	1.000	170.00	
Клей Капелька 20мл высокопрочный Henkel к.1303312		шт	45.00	2.000	90.00	
Клей Капелька 20мл обувной Henkel к.1303311		шт	40.00	8.000	320.00	
Клей Капелька 20мл прозрачный Henkel к.1303310		шт	45.00	1.000	45.00	
Клей Капелька 20мл универсальный Henkel к.1152035		шт	45.00	2.000	90.00	
Ключ д/винтовых крышек Твист-офф 2 размера (89/100 мм) Пик РФ		шт	55.00	1.000	55.00	
Ключ д/винтовых крышек Твист-офф 7 размеров (66/82/89/100мм винт, банки СКО) Москвичк		шт	125.00	8.000	1'000.00	
Ключ ЗУБР "ЭКСПЕРТ" для патрона дрели, 16мм		шт	120.00	3.000	360.00	
Кнопка звонка (выкл. для быт. звонка) А10.4-001 черно-белая (полистирол, прямоуг.) Ви		шт	40.00	12.000	480.00	
Коврик д/выпечки тефлоновый 33*40см, 100мкм, т/у Kroll		шт	170.00	2.000	340.00	
Коврик д/сушки посуды 24*45см, микрофибра, "БЛЭК" арт.60378 MasterHouse		шт	160.00	1.000	160.00	
Коврик д/сушки посуды 24*45см, микрофибра, "ГРЕЙ" арт.60379 MasterHouse		шт	160.00	1.000	160.00	
Коврик д/сушки посуды 30*45см, микрофибра, Master Серый арт.60641 MasterHouse		шт	195.00	1.000	195.00	
Коврик д/сушки посуды 38*48см, микрофибра, "ЛЕТО" арт.60196 MasterHouse		шт	210.00	1.000	210.00	
Коврик д/сушки посуды 38*48см, микрофибра, "Хорошее настроение" арт.60197 MasterHouse		шт	210.00	1.000	210.00	
Коврик для ванной на присосках Paradise 69*36см, FV33-MG ПВХ,  овальный 6930  Вилина		шт	265.00	1.000	265.00	
Коврик для ванной на присосках Paradise 69*36см, FV35-MG ПВХ,  овальный 6930  Вилина		шт	265.00	1.000	265.00	
Коврик для ванной на присосках Малышарики Нюшенька и Пандочка 69*36см, ПВХ, овальный		шт	330.00	1.000	330.00	
Коврик для сушки посуды 40*25, микрофибра, MDM-01, арт.310253, Рыжий Кот		шт	115.00	1.000	115.00	
Коврик для сушки посуды 45*35, микрофибра, MDM-01-L, арт.310254, Рыжий Кот		шт	170.00	1.000	170.00	
Коврик для сушки посуды 50*35, микрофибра, MDM-Promo-L, арт.5492, Рыжий Кот		шт	170.00	1.000	170.00	
Колесо д/сумки-тележки, d=160мм, пластик, 93545, Рыжий Кот		шт	90.00	1.000	90.00	
Колесо для сумки-тележки, d=160мм, пластик, 93545, Рыжий Кот		шт	90.00	1.000	90.00	
Комплект WC МИДИ SV3009, серебро SVIP		шт	100.00	1.000	100.00	
Комплект д/туалета WC МИНИ (ерш+подставка) микс, 64030 York		шт	65.00	5.000	325.00	
